OP,A1,A2 
+,19114,19514
+,18432,7558
+,4140,2535
+,13472,16452
+,8294,7314
+,6124,1157
+,15618,5986
+,18111,19944
+,239,9484
-,194,0
+,15505,16717
+,19746,5206
+,4386,10021
+,4424,2435
+,12574,13594
+,18260,16489
+,18669,544
+,10704,10830
+,3318,7165
-,327,0
+,11424,8101
+,19945,14883
+,1230,7436
+,18564,689
+,16165,19197
+,5431,9541
+,2427,6306
+,8746,11145
+,9602,16695
+,16230,14766
+,4493,1384
+,13380,7814
+,13468,19392
+,1689,1196
+,19405,1623
+,6653,1244
+,15895,7054
+,731,16128
+,16939,15789
+,11995,17939
+,13868,10469
+,16414,3755
+,16174,17079
+,12140,8181
+,417,17348
+,6255,19178
+,17107,19989
+,8968,8021
+,18675,15825
+,2104,11175
+,12795,2757
+,12565,12887
+,4914,10484
+,12837,15772
+,9949,11250
+,7829,1883
+,7485,13870
+,17214,3892
+,5269,2782
+,688,13143
+,13423,11996
+,14941,11469
-,763,0
+,13198,1805
+,638,7122
+,6338,16012
+,485,6834
+,369,9058
+,13873,17281
+,15635,19409
+,4481,15344
+,6510,4431
+,11372,12920
+,12033,6088
+,15355,18892
+,4334,19279
+,4844,5505
-,194,0
+,6743,19017
+,5016,18137
+,4693,13594
+,3405,19211
+,2499,3144
+,172,13297
-,850,0
+,18428,9012
+,3290,1906
+,224,14254
+,4624,4138
+,18100,17139
+,2716,18381
+,11517,2707
+,15459,19601
+,2635,1687
+,18951,16698
+,14171,9516
+,7658,4638
+,12521,16253
+,6304,12056
+,216,19633
+,6349,12217
+,18318,14907
-,308,0
+,10062,1707
+,5930,3931
+,76,13206
+,18314,11982
+,10553,11524
+,6242,13246
+,11113,11010
+,9921,13970
+,19691,1485
+,5765,18089
+,5768,8739
+,19147,14722
+,7231,11680
+,5729,17669
+,4655,13712
+,4889,5940
+,1750,40
+,16898,2514
+,12489,8113
+,10920,1523
+,617,12352
+,7168,7275
-,335,0
+,7121,9813
+,560,4476
+,16591,18887
+,1948,492
+,3086,299
+,6959,13562
+,19666,7670
+,3498,10352
+,936,6085
+,8337,11808
+,12232,9609
+,532,7534
+,5558,9638
+,5624,4938
+,9647,12143
+,7988,2276
+,19079,2960
+,5092,11780
+,18834,9678
+,5153,8529
+,15636,849
+,9806,2315
+,18934,3477
+,5411,2728
-,736,0
+,13335,12886
+,14640,10748
+,214,2130
+,10293,15859
+,6422,17967
+,18941,9931
+,16460,10306
+,1183,8676
+,19615,2871
+,788,13380
+,10247,5790
-,367,0
+,10529,1005
+,11929,15354
+,15806,19233
+,2799,7167
+,5602,8939
+,14029,12570
+,6397,8259
+,16561,5485
+,16488,17951
+,19239,3222
+,8902,11062
-,778,0
+,12030,14071
+,16603,8420
+,8988,11940
+,14886,15261
+,1736,3762
+,13348,8200
+,5454,2596
+,1307,10621
+,1795,12786
+,7670,10553
+,46,8337
-,625,0
+,2212,18392
+,13898,8854
+,19101,2867
+,13928,14141
+,979,15342
+,2364,8992
+,3811,8862
+,17027,4127
+,12610,12469
+,6102,10458
+,8679,10005
+,12265,12399
+,7304,4586
+,6788,1407
+,2227,3550
+,967,503
+,155,17472
+,6587,11185
+,14990,3151
+,17041,7128
+,6270,15999
+,18543,1344
+,10464,13038
+,9863,1540
+,1710,3677
+,890,17927
+,16,3547
+,12947,18774
+,2431,1755
+,12499,1978
+,19897,7606
+,16994,13628
+,15662,382
+,4082,720
+,2928,9903
+,4784,14350
+,19504,17013
-,341,0
+,10097,724
+,1396,1617
+,1880,15347
+,8761,19140
+,144,6230
+,10129,8207
+,10151,17339
+,16282,19498
+,4156,6566
+,9065,19499
+,9040,4599
+,6432,5008
+,816,9643
+,19282,10280
-,835,0
+,10955,18413
+,12401,12718
+,13032,12932
+,17822,15544
+,10330,9366
+,18560,10410
+,7954,9199
+,18718,4543
+,5034,12937
+,13245,977
+,9972,5097
+,3891,7496
+,12856,17268
+,16133,8415
+,19052,16590
+,8569,3671
+,4805,18919
+,1081,4637
+,14800,7619
+,12958,14913
+,12646,4255
+,6700,5152
+,5996,16
+,6366,18367
+,15655,9571
+,2151,2925
+,8340,10966
+,2255,17972
+,11236,7212
+,1936,1658
+,16698,14617
+,15720,1495
+,6657,8495
+,17466,2459
+,11045,14577
+,9024,13668
+,3317,202
+,12288,15371
+,18509,4199
+,10924,9480
+,2542,19201
-,213,0
+,12286,3829
+,150,10425
+,6764,19192
+,432,866
+,19763,11771
+,15350,19472
+,1320,10015
+,14821,977
+,17463,17932
+,9830,10046
+,17936,14927
+,17755,11350
+,13372,360
+,9278,9561
+,4585,6884
+,7662,5407
+,12219,2964
+,9868,9885
+,590,10370
+,9692,11003
+,19908,5869
+,14386,19032
+,7992,17133
+,17580,5732
+,11019,13636
+,9803,8774
+,13571,11119
+,11602,19494
+,19,2955
+,18628,913
+,16831,18231
+,5888,16238
+,1492,1599
+,15802,362
+,16131,14628
+,8626,8298
+,14985,10059
+,9019,17199
+,217,17041
+,1717,3541
+,11758,8258
+,18772,16426
+,11780,1878
+,4106,2189
+,10514,166
+,11928,5640
+,10763,3663
+,17744,654
+,8582,7261
+,1866,4857
+,3767,4339
+,6042,15664
+,1977,4950
+,13303,17167
+,6958,16790
+,11282,2792
+,10576,14390
+,7404,14364
+,16928,17675
+,10009,8671
+,12681,8941
+,3009,15528
+,17583,8004
+,12070,2690
+,8065,17653
+,16337,9514
+,6872,11019
+,15927,17669
+,1837,18454
+,15460,9325
+,14312,7525
+,13815,10810
+,18074,5723
-,759,0
+,9991,13317
+,9472,9270
+,6011,16457
+,8846,12934
+,17111,16877
+,8757,6797
-,50,0
+,10979,10660
+,4170,12606
+,9459,8677
+,16461,5738
+,830,14385
+,9726,7976
+,6787,7418
+,1397,17229
+,17199,1125
+,6119,132
+,14487,10458
+,7535,13297
+,8286,15122
+,9779,14672
+,13486,82
+,12090,18703
+,6841,16222
+,19113,6233
-,588,0
+,5202,3438
+,12353,11102
+,10073,16755
+,3963,16007
+,10025,10901
+,16814,8810
+,18962,6211
+,15311,12838
+,19561,7701
+,7981,19271
+,16257,19750
+,1474,18635
+,10727,18930
+,12563,18051
+,10126,18555
+,4546,13578
+,13700,12339
+,18913,260
+,15706,2939
+,18790,13105
+,15704,12642
+,9408,6046
+,1443,16503
+,3170,17962
+,12387,13018
+,13731,3060
+,9293,554
+,16715,19616
+,9030,2848
+,9816,4968
+,17928,5204
+,18933,9921
+,3997,5046
+,12927,19365
+,2619,2329
+,5667,1290
+,6638,10540
+,18989,15534
+,1322,18074
+,10288,13021
+,13017,9814
+,17484,4676
+,17304,2056
+,4892,19041
+,2880,14785
+,14909,5894
+,4209,9496
+,5082,14756
-,316,0
+,4352,3762
+,17740,10020
+,410,10658
+,8652,6203
+,6208,9282
+,9609,16134
+,18404,15249
+,10496,8730
-,806,0
+,5274,18648
+,4048,10455
+,13096,10680
+,2914,7380
-,558,0
+,11061,527
+,3245,2657
+,3476,7194
+,13995,15288
+,2119,5636
+,17307,5276
+,11060,18854
+,6613,19400
+,14367,15109
+,12352,11870
-,139,0
+,9683,7309
+,3222,6065
+,4325,4372
+,9477,7475
+,5407,17141
+,6228,13464
+,6586,7343
+,10416,16620
+,18869,475
+,1903,2501
+,19438,180
+,6641,8009
+,1988,12278
+,15394,15642
+,5307,6309
+,3426,8474
+,9682,12024
+,10667,8079
+,2884,13666
+,18229,17288
+,8099,15456
+,9725,9251
+,11739,9139
+,684,18565
+,12771,3820
+,4759,6743
+,18465,12929
+,8053,19926
+,7610,7452
+,2862,11055
+,3204,13783
+,11390,2498
+,3660,3001
-,618,0
+,9728,2116
+,13816,10853
+,11018,2332
+,9367,12262
-,402,0
+,8282,2200
+,6629,17571
+,13714,6625
+,17707,2339
+,18225,1942
+,5853,6447
+,6185,7330
+,17939,15056
+,1847,8887
-,293,0
+,11024,1316
+,6045,6739
+,15716,17550
+,19168,11922
+,15337,18459
+,6842,18184
+,12333,17858
+,9645,6139
+,16368,1872
+,5834,3467
+,17901,7771
+,15435,15051
+,9057,3037
+,8950,2451
+,5948,5969
+,1209,11596
+,7179,19265
+,17520,3182
+,17422,3997
+,19805,13156
+,753,15140
+,16310,4343
+,10212,16110
+,3629,4459
+,17513,6834
+,10168,17554
+,5234,11762
-,505,0
+,5737,1736
+,16932,2566
+,4069,7275
+,8405,17548
+,6721,2612
+,14968,8902
+,8093,798
+,18200,14631
+,2461,14828
+,7349,12761
+,15319,15957
+,734,13487
+,1156,12804
+,6049,956
+,7342,4596
+,1410,15085
+,14550,10587
+,18105,7402
+,19633,19107
+,14398,18056
+,13518,2865
-,983,0
+,16576,12578
+,6329,5853
+,17674,4772
+,13552,9858
+,4099,16652
+,11386,15337
+,13913,19624
+,5973,8894
-,698,0
+,8697,9309
+,19901,10001
+,7498,10554
+,5818,8696
+,8519,18625
+,1653,12767
+,7175,289
+,12435,18897
+,2166,535
+,10173,18042
+,7853,11161
+,9940,15508
+,8422,8605
+,17215,5638
+,4683,12876
+,13580,8726
+,19503,17690
+,16840,913
+,14575,14459
+,18092,11991
+,15139,906
-,75,0
+,2538,12205
+,19287,18788
+,7761,5955
+,2372,16344
+,13831,17991
+,13573,850
+,125,1416
+,9131,14382
+,17009,6886
+,1133,14228
+,12692,18589
+,15667,19839
+,3075,3149
+,8533,14749
+,14777,1955
+,7407,3977
-,489,0
+,1898,12835
+,475,17703
+,3032,8911
+,9299,11318
+,10564,4681
-,625,0
+,13782,10708
+,8936,7441
+,8347,4091
+,15917,1380
-,45,0
+,19398,6662
-,863,0
+,19913,9164
+,18044,19337
+,1586,1773
+,2945,9479
+,677,2051
+,13221,17402
+,2329,4222
+,11654,1452
+,17860,10673
+,9879,19193
+,1696,6298
+,7887,1411
+,17380,1352
-,605,0
-,778,0
+,12119,9999
+,2865,6824
+,10156,2859
+,15668,9563
+,2408,14698
+,11496,18304
+,13726,14422
+,2561,1424
+,16406,14759
+,19772,17049
+,6274,7284
+,15890,12413
+,9752,17426
-,953,0
+,15834,230
+,2846,9383
+,14914,13611
+,18242,16420
+,17711,11222
+,17264,16113
+,4165,1779
+,10370,17528
+,15327,16445
+,16618,9798
+,4016,4904
+,9929,1988
+,415,438
+,12428,19816
+,19516,3618
+,6305,2098
-,508,0
+,5430,17020
+,15410,2418
+,1904,14767
+,848,17817
+,18595,17254
+,12617,18986
+,11346,7013
+,7445,5996
+,8572,7814
+,16207,6239
+,11051,2865
+,17191,14171
+,12347,15240
+,19307,15165
+,9907,8818
+,12016,183
-,10,0
+,12346,9024
+,4271,15539
+,6928,10112
+,14364,19586
+,1549,5299
+,19236,8373
+,13162,7593
+,3404,12201
+,12756,2436
+,5025,13898
+,8430,1154
+,18163,19210
+,6824,6983
+,6829,18468
+,3549,3395
+,8364,940
+,12724,2746
+,19971,9983
+,11531,17646
+,12819,2773
+,10587,2390
+,13863,2184
+,13307,16065
+,5316,6736
+,1944,16835
+,5743,6615
+,12408,2544
+,9761,10941
+,9572,12299
+,19557,2222
+,1304,13676
+,19909,7431
+,8575,16356
+,5938,9474
+,3603,18860
+,8926,9228
+,913,13487
+,11977,6157
+,12277,7062
+,18278,13730
+,1095,10016
+,10658,13239
+,11177,1375
+,4138,6577
+,4305,11060
+,2690,13523
+,12160,399
+,8132,4682
+,15650,15536
+,6482,6138
+,1571,6552
+,19377,10388
+,12469,12135
+,9254,8408
+,15793,10591
+,8400,13671
-,129,0
+,8803,18670
+,1631,8801
+,3372,10422
+,13127,2350
+,7557,7225
+,19891,18656
+,16405,6848
+,4543,10378
+,805,19711
+,8760,902
+,18623,16178
+,4426,16723
+,2015,17054
+,13206,14651
+,8153,12948
+,3274,3912
+,14205,8416
+,6109,12893
+,15445,11758
+,5782,742
+,8320,15086
+,435,13829
+,11145,19268
+,19952,399
+,10890,4385
+,3941,6693
+,1466,6697
+,19948,7969
+,18971,9241
+,14920,7569
+,11413,392
+,19553,15628
+,7561,5284
+,18471,5205
+,4189,13826
+,11516,18736
+,10225,11919
+,7419,2793
+,6350,11418
+,4731,17873
+,10821,10381
-,610,0
+,17412,9951
+,17719,8621
+,18186,11570
+,6952,3688
+,13464,16788
+,17203,15799
+,15211,17722
+,8429,7190
+,6079,6480
+,14682,3037
+,11416,15187
+,19167,2945
+,17356,4249
+,18589,18722
+,12529,4296
+,8223,2640
+,18926,16170
+,6918,4176
+,5152,16510
+,4303,6375
+,8427,2365
+,12593,10998
+,6040,13694
+,18192,15574
+,11916,7674
+,10716,11222
+,8331,5550
+,11047,11710
+,7902,13690
-,909,0
+,3568,8052
+,17259,3273
+,18079,3887
+,13756,4148
+,3180,15833
+,18687,2029
+,7241,9445
+,692,16102
+,11032,3684
+,13454,10793
+,16496,3436
+,7604,2265
+,13553,12253
+,14267,19686
+,14681,7924
+,7136,15304
+,3831,14438
+,3159,8992
+,16203,2927
+,13639,6595
+,4119,12982
+,11042,12422
+,13105,4700
+,442,19703
+,3801,766
+,1036,19586
+,653,16269
-,886,0
-,117,0
+,2933,3602
+,18265,9839
+,3547,13526
+,17839,3947
+,4023,484
+,9564,6890
+,19341,18896
+,18216,18357
+,4359,19380
+,5085,5329
+,17333,9006
+,8506,2890
+,4142,5406
+,8795,8231
+,16419,6495
+,7028,13698
+,13155,10883
-,135,0
+,8032,1379
+,16607,14080
+,1226,13323
+,16356,5539
+,4435,8220
+,14598,5423
+,2836,18076
+,18354,10921
+,10228,18264
+,2315,5798
+,932,3714
+,18730,1041
-,651,0
+,19490,11539
+,3022,11672
+,19684,17488
+,7864,4434
+,5554,1929
+,17611,2748
+,9060,13148
+,7249,18547
+,12044,14704
+,19340,8646
+,13797,3908
+,9499,12404
-,653,0
+,9275,15843
+,15570,18186
+,19322,3416
+,16021,9522
+,1611,7917
+,5467,12934
+,12490,13251
+,19447,9191
+,12451,2744
+,9440,10978
+,162,2179
+,9223,3959
+,16955,5617
+,13910,5930
+,310,7796
+,17240,17405
+,2367,14447
+,11418,13051
+,10567,17685
+,10401,19443
+,10443,14103
+,11605,3052
+,12283,4096
+,17995,9551
+,5071,221
+,13960,7026
+,13329,2026
+,324,12409
+,3013,161
+,14206,9051
+,19975,5560
+,9826,2635
+,6850,13330
+,2976,16225
+,12341,14915
+,291,999
+,637,12605
+,4280,2749
+,2067,11279
-,95,0
+,12236,757
+,14069,2843
+,15541,15921
+,1031,6933
+,10709,6378
+,18086,15467
+,13452,19719
-,589,0
+,18833,6379
+,19565,9425
+,5564,5772
-,666,0
+,11820,8549
+,10098,1347
+,13965,17100
+,13774,14371
+,12307,12246
+,11373,7491
-,921,0
+,18661,16050
+,8278,14971
+,4490,6051
+,3751,5673
+,6757,2962
+,19311,10595
+,11324,9878
+,6291,14200
+,2689,9124
+,8769,16837
+,2565,11438
+,18603,3740
+,6695,16654
+,2392,4845
+,3339,2304
+,6303,16325
+,19218,19466
+,13757,13906
+,9766,15960
+,492,17788
+,16894,6521
+,14852,19630
+,10128,11447
+,5081,12488
+,7595,5258
+,3866,13060
+,5494,14083
+,15207,6420
+,5896,19096
+,8239,17578
+,10729,13329
+,19087,17426
+,1808,4215
+,2821,13140
+,5418,8745
+,17290,4672
+,13483,854
+,5216,14576
+,9822,240
+,12416,3149
+,84,9940
+,5368,2615
+,5367,14402
+,15307,4246
+,13016,15475
+,11727,447
+,2606,4060
+,11296,5679
+,19880,17190
+,18795,12918
+,69,1614
+,11008,15356
+,7330,9141
+,8601,10287
+,10579,18129
+,8731,18585
+,4516,3373
+,18016,15203
+,8082,12293
+,4166,14768
+,16362,5677
+,15124,2202
+,10949,5790
+,16645,1226
+,2815,13089
+,5783,2555
+,982,9406
+,3889,3413
-,468,0
+,3688,14350
+,12998,13405
+,5448,2236
+,9425,2367
+,6054,15623
+,15458,8294
+,12807,13941
+,9184,12950
+,16856,10980
+,15973,1514
+,4640,16133
+,7033,9348
+,5108,17083
+,14882,5704
+,2150,718
+,13977,18432
+,15489,19802
+,966,2962
+,5692,19474
+,14441,2220
+,15059,3888
+,17773,5195
+,12980,11209
+,8271,121
+,2416,11951
+,12888,15477
-,909,0
+,8076,8670
+,16500,11025
+,17607,9576
+,3781,5798
+,18008,14132
+,9079,1383
+,12130,8303
+,13781,2222
+,15362,6607
+,3201,14094
+,7417,13185
+,1163,14831
+,8646,11852
+,2309,5896
+,11266,13176
+,17627,1314
+,7869,14759
+,7456,4748
+,17976,10245
+,4785,16277
+,6425,3007
+,7208,18391
+,10103,5652
-,977,0
+,9253,9850
+,5405,2702
+,3929,14764
+,5270,11464
+,8381,19336
+,18922,14433
+,18801,3299
+,7225,17159
+,12223,6934
+,11724,8380
+,12188,1536
+,53,18390
+,1830,13728
+,19288,5178
+,2733,2360
+,14967,16698
+,2981,16455
+,10944,18049
+,9720,17231
+,18454,13152
+,12621,18670
+,15977,9647
+,15776,7608
+,15965,15547
+,16395,3985
+,17083,7569
+,15800,15037
+,5656,18027
+,4254,9925
+,12313,18633
+,10643,7814
-,509,0
+,12644,1518
+,6098,19756
+,5895,16810
+,669,10552
+,2157,8561
+,16947,17093
+,8240,16879
+,16515,18881
+,4217,16297
+,15925,12992
+,1962,10400
+,13108,4961
+,2676,13094
+,10260,291
+,8512,6475
+,14534,16874
+,8334,17513
+,14295,17870
+,3545,19399
+,19331,17513
+,2134,127
+,17676,5110
+,15683,18409
+,365,1558
+,12702,7356
+,14354,12917
+,19040,7496
+,16987,19765
+,3158,2232
+,4646,15370
-,562,0
+,16790,13016
+,8442,11767
+,3295,7523
+,3939,5566
-,854,0
+,2037,19691
+,2834,19837
-,872,0
+,6289,6788
+,13305,15731
+,10515,12201
+,425,1757
+,5552,1807
+,7103,9655
+,13693,17348
+,1581,11321
+,13325,8235
+,3418,4522
+,12052,15671
+,9012,1486
+,1552,5375
+,10031,11345
+,13075,17473
+,11124,15468
+,4571,18560
+,3569,8753
+,15262,4002
+,17482,18280
+,326,12986
+,6977,11228
+,13843,1756
+,3755,8376
+,10003,5173
+,15877,8051
+,13882,18883
+,19193,11917
+,206,11215
+,19356,11320
+,14217,16961
+,5040,6715
+,18599,1434
+,4312,13675
+,1351,14374
+,5560,11367
+,15998,7308
+,2664,6076
+,2767,9741
+,18290,7859
+,806,916
+,18396,2588
+,14536,2330
+,9736,18477
+,13112,5941
+,10199,10756
+,3132,5468
+,12053,10458
-,994,0
+,7936,120
+,8978,12060
+,14396,10487
+,6628,3395
+,18703,3642
+,18416,11195
+,17517,3148
+,6122,3232
-,41,0
+,6446,11504
+,5569,10969
+,6116,5148
+,4231,18181
+,7462,18922
+,15832,14498
+,15421,3170
+,4617,14391
+,17075,9154
+,14949,8292
+,7618,17887
+,14615,13701
+,11429,2302
+,11184,13235
+,14997,9172
-,601,0
+,13694,13708
+,13541,14240
-,930,0
+,10902,8132
+,86,2114
+,8208,8689
+,14992,10124
+,11670,10
+,3213,16702
+,17684,7188
+,176,7963
+,418,14726
+,17864,15771
+,6948,12480
+,1544,19786
+,4651,9134
+,11171,7020
+,12800,3898
+,5814,2520
+,363,3016
+,17353,4232
+,13060,6094
+,4004,12604
+,7520,17952
+,10130,5967
+,5187,2638
+,14073,12861
+,8037,19188
+,14336,19748
+,12422,7567
+,12874,2497
-,691,0
+,9556,14350
+,16148,11236
-,833,0
+,1645,15880
+,7703,15619
+,1636,13174
+,4946,14930
+,14022,4222
+,17991,5630
+,451,7658
+,8471,12523
-,818,0
+,18148,7654
+,9001,1419
+,12914,19163
+,5209,16756
+,11313,13206
+,13371,9848
+,9808,19562
+,16547,4936
+,7094,13093
+,18435,315
+,4407,12806
+,8414,4972
+,3701,16084
-,669,0
+,2557,17875
-,585,0
+,16611,4851
+,3350,17974
-,995,0
+,6600,10460
+,15468,9154
+,13979,3334
+,3300,9019
+,17287,251
+,1205,1480
+,18426,16049
+,9689,9363
+,9398,13119
+,2783,4559
+,18696,5174
+,18378,10582
+,676,903
+,17378,3184
+,8838,7545
+,15404,17882
+,18315,9650
+,11522,16570
+,3078,16
+,11986,19369
+,15135,1655
+,8135,16441
+,16965,10348
+,16095,2040
+,13599,2811
+,3794,13415
+,17751,4499
+,15233,15335
+,9920,8460
+,17818,15707
+,7382,7894
+,14817,2752
+,7755,12580
+,16708,18165
+,6483,6709
+,14502,8712
+,3397,8208
+,13215,16668
+,1128,10261
+,5708,2828
+,7467,18947
+,11054,7400
+,9461,2161
+,19412,8973
+,5662,11301
+,12767,15496
+,14857,57
-,193,0
+,12099,18208
-,636,0
+,970,12498
+,17327,6841
+,11352,6215
+,4951,13
+,16379,4003
+,14397,1918
+,3196,2543
+,6092,14817
+,3281,330
+,9874,16599
+,9327,5481
+,9185,7374
+,6001,19731
+,17110,2210
+,19403,2573
+,4682,6898
+,11639,9279
+,9776,7860
-,101,0
+,1456,11964
+,668,19631
+,1195,11453
+,16911,5972
+,4528,1789
+,2153,17425
+,2121,570
+,13183,16243
+,6632,19874
+,14035,17065
+,13333,19704
+,16243,8213
+,2248,3817
+,18691,13898
+,14237,5005
+,3983,6025
+,6935,12043
+,11227,10392
+,9780,8505
+,13262,3033
+,13068,612
+,14380,13530
+,13243,9991
+,17188,1743
+,19989,16513
+,13681,11110
+,4384,1572
+,13758,2044
+,3335,11249
+,12640,8397
+,3713,10065
-,624,0
-,394,0
+,18903,3259
+,5268,12132
-,696,0
+,11962,9709
+,15772,12268
+,8105,10970
+,4389,18511
+,17289,18102
+,3197,1738
+,13886,9851
+,8869,14817
+,2160,8916
+,10609,1080
+,16154,1000
+,2477,19183
+,7253,1139
+,14258,4893
+,10506,635
+,9669,9858
+,4028,17405
+,16066,2223
-,97,0
+,6784,12231
+,13415,12266
+,16539,10319
+,639,14666
+,7037,6078
+,16778,4293
+,6356,7398
+,15863,13146
+,18328,4131
+,3465,9392
+,10206,2452
+,4017,4699
+,5609,801
+,16868,10868
+,13476,17130
+,9558,839
+,524,9024
+,13031,6414
+,1804,6468
+,47,7887
+,4147,4050
+,1259,3831
+,5336,5514
+,1625,15375
+,3749,18438
+,19802,19834
+,16355,18110
+,5017,1366
+,14895,9258
+,7442,7712
+,4459,10570
+,15585,4936
-,203,0
+,9988,15816
+,19551,19875
+,11690,6751
+,36,17750
+,19620,10419
+,16196,12590
+,530,1478
+,12619,18209
+,5083,16995
+,15486,17182
+,4672,7902
+,18349,17214
+,15653,1392
+,10000,10026
+,18287,1872
+,3573,16132
+,5170,8920
+,12994,15493
+,4552,2168
+,16250,745
+,9674,12877
+,19297,13904
+,10187,13425
+,5233,7732
+,18034,5870
+,0,8405
-,622,0
+,14454,3745
+,4739,8482
+,16931,13055
+,10854,5220
+,4684,9353
+,8303,8730
+,1533,98
+,330,16147
+,18036,4501
+,754,16417
+,10671,7644
+,14190,14973
+,17720,5890
+,8302,15089
+,4747,15973
-,274,0
+,3819,7412
+,1733,2421
+,9443,834
+,9312,9747
+,1364,19730
+,7617,16476
+,13704,10416
+,14643,120
+,18375,15758
+,5189,8524
+,7897,78
+,7562,5826
+,10641,10614
+,3636,13813
+,9906,2246
+,7375,12611
+,6125,5438
+,6897,17587
+,18658,2929
+,6266,18098
+,4039,7942
-,37,0
-,410,0
+,8255,5527
+,5105,10992
+,8008,625
+,8722,1093
+,12436,4672
+,2541,109
+,1677,2096
+,5143,17959
+,9960,5113
+,13912,1218
+,13284,6772
-,149,0
+,2342,2897
+,17067,3024
+,5462,11218
+,19845,743
+,7044,10001
+,18854,18369
+,3540,2381
+,9383,17583
+,986,5506
+,2573,11447
+,15985,9485
+,19865,10095
+,3282,3719
+,15621,391
+,7636,12336
+,5315,5616
+,3055,16296
+,12021,9378
+,16597,11298
+,19462,3137
+,3829,6046
+,14191,2619
+,3623,6742
+,5021,14207
+,1027,2877
+,19044,15868
+,2879,7391
+,5198,3530
+,4341,16860
+,9046,8862
+,19390,1413
+,17812,9924
+,14878,16532
+,12336,4799
+,19879,13964
+,17141,8544
+,14578,8270
+,18466,17866
+,8078,16345
+,2806,12332
+,19005,10344
+,8216,14785
+,8229,18335
+,10029,19
+,18135,4389
+,3327,17993
+,2133,4799
+,14721,9741
+,19699,371
+,7353,16962
+,14851,9191
+,16567,17524
+,11066,9880
+,16110,13540
+,3176,16351
+,3348,2593
+,421,11129
+,3851,14319
+,3141,12305
+,256,8083
-,234,0
+,7748,3981
+,8669,9618
+,13297,1093
+,13944,11693
+,2415,10126
+,7000,3583
+,1015,1463
+,1160,19875
+,11554,767
+,13324,7710
+,12796,4865
+,9201,5649
+,6505,8269
+,343,7651
+,2706,610
+,6405,6625
+,3472,14115
+,5126,14377
+,5717,1960
+,14834,6020
+,10896,249
+,1091,10753
+,12025,9252
+,7105,540
+,3340,6269
+,843,9632
+,17981,2365
+,2365,10041
+,1684,18427
+,9260,13273
+,13314,11985
+,17029,7626
+,331,1616
+,13264,5722
+,5328,16015
+,5204,8940
+,13433,16862
+,7541,11199
+,11733,10501
+,10766,15760
+,6767,17893
+,17062,6828
+,1034,6003
+,8397,16596
+,17119,8250
+,6667,10380
+,13813,7951
+,9612,5757
+,10189,96
+,4873,16563
+,4564,10487
+,17714,4264
-,747,0
+,10473,11449
+,10361,3056
+,8479,16526
+,4680,8671
+,1393,9815
+,9262,12144
+,14418,1202
+,8417,2465
+,12139,13141
+,231,13884
+,7151,8898
+,19846,5906
+,12691,11916
+,19931,5633
+,5141,18790
+,379,19589
+,9923,16065
+,2841,17877
+,16876,10875
+,4550,17054
+,3847,3987
+,16223,2432
+,7314,2831
+,6833,8860
+,10903,12636
+,218,9853
+,5875,3602
+,4568,8835
+,12826,7283
+,4086,11762
-,703,0
+,3029,16891
+,14749,14713
+,1582,18175
+,14576,5158
+,5924,2372
+,17775,19759
+,4508,8663
+,8316,10033
+,14868,3379
+,18858,11639
+,4295,15926
+,19855,4878
+,2215,18985
+,14236,4034
+,19192,5464
+,732,1336
+,498,1879
+,7802,4474
+,10663,2247
+,1258,17714
+,10299,3380
+,2995,15001
+,19757,15930
+,16821,6687
+,15452,11235
+,7925,7441
+,18746,4645
+,5604,12789
+,12076,1975
+,15882,4911
+,1507,3796
+,16617,13401
+,17926,17103
+,18430,5490
+,5239,12714
+,1265,11710
+,2452,12002
+,11411,12103
+,18542,7295
-,276,0
+,18194,15759
+,14459,17687
+,8095,7361
+,18095,19125
+,13388,14490
+,1727,19210
+,5838,13308
-,552,0
+,18473,10624
+,19734,19723
+,11243,16992
+,3454,3889
+,15276,12147
+,9490,1928
+,1017,2979
+,19413,16429
+,5358,6371
-,589,0
+,1966,7618
+,10921,2966
+,9404,11718
+,14546,14560
+,18715,15278
+,13443,11691
+,1869,3330
+,8540,15484
+,16429,4173
+,18185,7005
+,2045,19648
+,4420,13902
+,16981,11794
+,16346,1001
+,17706,12665
+,19667,8861
+,2462,3481
+,17305,3522
+,5884,8948
+,9623,14168
+,16067,19067
+,4583,6657
+,16973,15170
+,1277,19610
-,80,0
+,9269,4980
+,13963,16871
+,5070,13426
+,1724,12041
+,16999,13462
+,9619,5576
+,3343,11954
+,3020,3831
+,9108,5766
+,14676,4429
+,6985,6570
+,14286,9097
+,12628,19981
+,6971,11666
+,822,6919
+,2725,19349
+,10894,14974
+,8237,17666
+,1878,7821
+,19957,19286
+,2883,17458
+,13504,12903
+,14960,10216
+,19619,9238
+,13475,4861
+,298,8230
-,514,0
+,17622,11508
+,5912,19625
+,13019,8035
+,1682,13131
+,17167,16120
+,11121,15371
+,15865,12887
+,13718,18668
+,11034,1963
+,6051,6444
+,18974,3272
+,17608,7841
+,6652,6040
+,16667,2420
+,2437,1291
-,92,0
-,565,0
+,13808,15873
+,11737,4399
+,4428,8905
+,7209,1692
+,12162,17799
+,6284,18275
+,13488,17399
+,8790,18438
+,8287,17069
+,18149,7724
+,16403,18737
+,4304,7533
+,10736,17661
+,5794,6264
+,19084,12847
+,10119,7076
+,19737,7723
+,960,13964
