OP,A1,A2,A3 
+,5215,14479,8264
+,19695,10396,3810
+,14365,4320,13853
+,17058,15724,8299
+,3672,9748,9454
+,8262,16971,11632
+,16544,16510,1338
+,11099,13318,6737
+,19407,9792,10764
+,10128,7355,18110
+,18896,3445,13986
+,13704,12583,5164
+,10949,3161,19139
+,9231,1890,224
+,2065,3984,15555
+,16110,2639,19383
+,13960,5946,13522
+,1654,18920,2799
+,12455,9079,2920
+,8768,4556,19725
+,9153,15243,15327
+,17135,687,10923
+,9476,12678,12725
+,2655,191,15899
+,1178,4328,346
+,12939,14623,2022
+,14231,16162,5675
+,16642,12384,3653
+,6575,17439,17626
+,5162,1987,1668
+,2201,13350,2674
+,15727,5800,9784
+,14565,5579,1875
+,4800,14184,17196
+,3867,6463,18859
+,16905,16077,9869
+,19283,12559,18091
+,18352,321,6058
+,8732,14535,11750
+,4627,3670,12114
+,13206,3064,9697
+,19086,12456,17492
+,11360,18213,7294
+,18350,19938,16857
+,17909,15010,7777
+,9475,11041,2343
-,816,0,0
+,3136,5081,12003
+,17755,15911,9318
+,5450,15672,2223
+,8827,5615,12415
+,10685,5915,16305
+,16767,12006,12174
+,19514,11413,15440
+,1982,8709,12040
+,18323,4455,5173
+,18933,17028,15319
+,8070,11634,13496
+,18384,11334,11803
+,17648,10808,100
+,4374,3450,7316
+,10118,16273,10917
+,14706,4194,12867
+,11129,19863,3709
+,12429,13716,19331
+,8952,14306,15579
-,361,0,0
+,3257,7382,10157
+,5757,14969,19194
+,2343,17428,13568
+,1269,10068,15811
+,19354,8095,8325
+,10348,10301,17231
+,19998,1147,4323
+,12724,5461,17069
+,18231,267,12714
+,15717,3392,6080
+,581,10756,5338
+,12683,10004,6200
+,7295,1765,7411
+,16014,4960,14165
+,3944,12798,8033
+,19648,10864,4720
+,9820,2552,12908
+,14396,107,9596
+,2358,17208,18329
+,14050,4830,10365
-,170,0,0
-,837,0,0
+,13069,6004,2026
+,10276,13157,17219
+,13180,6740,15121
+,5229,10970,12195
+,3920,5320,12248
+,11682,6229,8474
+,95,16181,6666
+,9218,7731,903
+,17197,160,7840
+,12836,17275,10850
+,4460,1518,7396
+,7936,2746,2516
+,13120,4774,8645
+,14766,17808,16597
+,2404,10658,19441
+,3206,3696,15601
-,497,0,0
+,9952,6591,263
+,5876,13039,18671
+,18757,6806,13797
+,6899,5842,12188
+,3521,4873,10872
+,15585,5771,18195
+,11223,10416,13232
+,884,188,12220
+,1268,19220,5273
+,16694,7880,15512
+,4615,11158,14797
+,7860,249,16064
+,19246,10085,7410
+,712,11916,3653
+,8012,10435,9513
+,13418,16625,3276
+,9608,2454,9782
+,1722,19866,4708
+,1295,3124,19886
-,294,0,0
+,13659,10866,1141
+,2969,16541,8432
+,16927,7516,4879
+,8888,13234,15655
+,12516,3966,5012
+,11111,12417,4369
+,5920,14194,17732
+,12469,4918,12265
+,1384,2002,19398
+,6100,16431,14440
+,7912,8419,9466
+,9983,12294,6435
+,9539,3169,9466
+,4844,2042,7347
+,14935,9998,14106
+,9974,17208,12915
+,19847,19566,15444
+,1647,14532,19862
-,92,0,0
+,8348,8541,2303
+,19329,4022,2275
+,10902,11864,15290
+,12101,17762,6789
+,19786,11579,13244
+,5456,8458,17507
+,2234,6525,14101
+,16126,8733,17469
+,4050,4009,18590
+,3460,9657,19599
+,10841,7500,17822
+,12452,16728,2373
+,19526,11421,5194
+,15968,17177,5829
+,5752,8826,6423
+,18541,5766,4434
+,8054,14445,15403
+,12539,7714,12096
+,8600,18811,4374
+,12582,1607,14785
+,18423,13131,9787
+,19369,16620,13414
+,4492,11133,16160
+,13619,2882,16446
+,3861,14567,11752
+,2520,9732,11169
+,8353,15930,4391
+,3339,4214,6912
+,8903,12917,3130
+,1746,1752,4344
+,19820,3765,10909
+,16744,9533,19798
+,16177,5614,12563
+,4266,5731,17842
+,1998,12011,5459
+,19279,8772,16997
+,1517,14497,8860
+,3993,2866,2992
+,19335,16230,14648
+,11350,9287,3764
+,17098,6324,9554
+,4972,2631,5229
+,9937,12549,4094
+,15803,4118,232
+,6445,5439,3806
+,8669,10943,6812
+,18123,8956,3402
+,8094,8537,9906
+,9783,7842,9065
+,2353,12080,4524
+,8710,18579,12025
+,18678,320,6986
+,13821,160,3220
+,5354,11606,10675
+,1165,7650,2154
+,12669,7918,12234
-,919,0,0
+,11311,6043,10593
+,7278,18722,1099
+,3806,7252,3602
+,10973,14361,2133
+,7035,2599,9924
+,8796,17379,15615
-,870,0,0
+,2934,3182,13609
+,18919,14777,15650
+,10931,18513,16909
+,11248,4817,4162
+,15118,16019,17163
+,11290,1002,13538
-,611,0,0
+,16307,9501,15045
+,187,4198,2874
+,6650,4360,12698
-,159,0,0
+,10349,17256,2347
+,17586,4504,5760
+,17623,19396,965
+,13063,4957,18044
+,15882,15947,11640
+,18415,1198,3540
+,2571,16630,10941
+,13947,7496,12450
+,17609,7392,16950
-,269,0,0
+,1125,17331,14123
+,8401,639,15100
+,15267,11030,5276
+,667,5631,17304
+,12112,3569,11572
+,11125,19903,12301
+,9643,10493,12481
+,18197,13636,11386
+,436,18620,4702
+,8636,8530,14279
+,14918,6275,2127
+,12573,2811,14882
+,9502,19470,9780
+,4414,13500,10777
+,18991,8106,6197
+,7059,19966,7972
-,646,0,0
+,8807,19389,8711
+,1013,41,8614
+,16568,1620,18204
+,14872,7784,15511
+,4169,14093,19811
+,13153,14901,11310
+,16076,17232,13867
+,17568,1220,15138
+,2418,5802,5162
+,9055,6612,17854
+,9528,16061,4315
+,17650,12833,5489
+,2357,641,4314
+,18980,3426,14351
+,9566,5032,16170
-,627,0,0
+,12330,17766,8186
+,14254,15274,10962
+,11312,17735,5167
+,1646,7029,10808
+,12543,8570,19216
+,5175,6476,18047
+,14378,13128,10431
+,10079,17528,15184
+,3092,19395,11476
+,6880,951,18161
+,5719,193,18885
+,7450,848,19712
+,16877,15906,12886
+,6113,4782,5243
+,15088,17656,9157
+,6452,9935,15856
+,3208,9031,13320
+,11592,11573,8809
+,15649,2498,271
+,8561,10611,17425
+,19896,9127,2269
+,19428,11149,19031
+,19475,14416,19805
+,6362,12894,19859
+,8127,15496,10702
+,4302,9619,9938
+,11692,7139,17090
+,17538,17200,2117
+,8964,4428,13406
+,13714,4087,16347
+,13937,6029,8588
-,309,0,0
+,3864,3741,8833
+,5104,12662,15628
+,5933,6328,16206
+,12959,5275,11248
+,9177,17825,14718
+,16400,13347,7667
+,2738,3653,1891
+,15238,6403,13877
+,15041,2106,12726
+,8510,6254,2140
+,15422,7063,15224
+,4007,12344,1144
+,11281,17409,17933
+,8309,2265,9095
+,12968,2188,2610
+,7666,5766,12737
+,15461,445,9254
+,15689,15636,8900
+,8005,1332,9178
+,8506,15923,5146
+,34,281,2654
+,5826,2314,12447
+,19021,14989,7641
+,1306,2613,18155
+,3607,7566,19413
+,8433,5435,13306
+,6688,7676,8687
+,18528,18192,1458
+,11828,14848,18287
+,5874,9904,14996
+,17214,14845,4562
+,19233,9090,17674
+,270,17835,1689
+,8571,17095,12422
+,18537,5333,2706
-,90,0,0
+,13634,13944,17016
+,9387,460,18105
+,19167,14579,4276
+,10199,16953,6004
+,4506,14560,12901
+,11212,13300,6657
+,19742,10180,1725
+,16331,16433,18641
+,5318,8285,15366
+,853,8903,11591
+,8641,15969,4607
-,337,0,0
+,10644,1610,12738
+,15564,10140,1818
+,15643,18570,3482
+,9601,14765,3945
+,17114,1461,642
+,8629,15382,15967
+,4427,14779,7904
+,5169,16150,3927
+,4544,17731,11600
+,14308,9755,11366
+,7426,5318,18634
+,11545,2926,261
+,196,7936,17463
+,7561,14167,19740
+,14895,14339,19552
+,15573,5089,15557
+,5707,14864,17046
-,153,0,0
+,16313,14945,5362
+,15453,13741,19493
+,8590,3512,17874
+,751,18963,7750
+,1079,9649,6489
+,11607,15083,8960
+,5375,14194,1720
+,19118,12844,11785
+,16440,15656,8785
+,19571,13116,10313
+,8948,7095,11379
+,17667,9308,6098
+,17573,10045,3479
+,11441,9,6276
+,2273,11367,16739
+,10789,12223,418
+,19773,11878,4223
+,9513,12317,14960
+,17887,19070,11583
+,10050,2810,2507
+,9928,14085,17738
+,4604,7594,1487
+,13422,10728,3266
+,17457,17756,1169
+,2143,7449,3415
+,12609,3770,706
+,15914,6293,9315
+,18641,7064,17617
+,8823,2605,12436
+,11362,5663,5074
+,573,3858,10828
+,18495,11039,18582
+,1285,1920,10001
+,5609,12656,18975
+,11096,14195,10329
+,3884,2731,17291
-,421,0,0
+,4279,846,8637
+,1283,14167,2654
+,6056,9356,3924
+,13831,16899,11927
+,16137,3698,626
+,17116,6951,11641
+,12345,7818,9636
+,1134,19025,8257
+,15830,4860,6872
+,8108,12702,10567
+,16541,5125,1646
+,15525,17896,1091
+,17999,17235,17504
+,17036,4988,4464
+,15709,7997,6802
+,16038,18667,10053
+,3698,11561,11970
+,1926,19639,12622
+,3919,17629,12220
-,500,0,0
+,8545,13425,10139
+,17484,6694,10175
+,8602,11791,14674
+,11137,1420,13692
+,2479,15333,1324
+,2257,14554,9865
+,13676,16449,8605
+,14709,3623,9807
+,8417,8902,7755
+,16891,2663,10748
+,14304,4283,18764
+,12402,5255,9810
+,6857,9885,9082
+,4576,11163,16742
+,5437,12024,5106
+,2083,948,14760
+,16549,19582,15796
+,6763,11188,8909
+,7679,16677,19989
+,19207,5802,19051
+,19467,17475,3315
+,13587,11978,5012
+,15217,717,3264
+,924,8204,16148
+,17252,16690,7894
+,15312,4067,7587
+,14624,10721,9174
+,5550,17893,17826
-,586,0,0
+,14415,5547,7657
+,15035,11078,4731
+,545,6717,15391
+,10265,8523,15399
+,21,10848,5458
+,17162,15777,7424
+,5912,12665,12673
+,19676,1775,9722
-,584,0,0
+,15735,14299,2974
+,11704,12605,10153
+,18898,9979,1112
+,19965,10375,17890
+,13935,2331,14636
+,6595,18830,5129
+,18175,9870,819
+,178,8075,12361
+,8098,9266,9929
+,17128,18793,19113
+,2289,13740,7067
+,11474,9119,17066
+,9930,18680,11015
+,11483,8811,5043
+,10423,17286,17923
+,8241,5772,9516
+,2330,3120,10538
+,233,17582,18030
+,14725,1242,16443
+,4058,18356,4922
+,5475,8954,4253
+,18873,9761,387
+,15442,9724,8991
+,5581,744,5302
+,19334,8289,19662
+,2660,13389,17264
+,993,18362,9901
+,9158,12339,3994
+,5436,13615,831
+,2776,9081,13708
+,8494,8908,3573
+,18709,6476,5611
+,6472,17365,3377
+,13614,3148,18940
+,14540,1732,16592
+,18252,6089,16280
+,14779,14700,18767
+,6285,14213,18212
+,10943,3596,2716
+,14859,19603,11835
+,8357,16923,14300
+,551,18286,17389
+,19343,8065,2666
+,3813,3575,1595
+,357,1355,7313
+,14794,6037,8814
+,11654,596,6583
+,5502,10997,3487
+,9057,5519,9247
+,17106,15019,17431
+,9881,15238,11789
+,5178,7992,1391
+,12160,4967,3758
+,11217,19874,1168
+,19701,16175,9152
+,1244,11778,8331
+,7352,4537,1382
+,4183,16011,7379
+,13350,501,16774
+,9695,949,17211
+,1614,14586,11638
+,12877,16487,17063
+,410,13976,8878
+,11358,14911,2987
+,14094,12020,852
-,799,0,0
+,13754,13470,15649
+,5160,17775,16526
+,7093,8851,4646
+,17760,16043,7538
+,9852,8332,10905
+,18843,14647,19102
+,11576,8208,1996
+,2154,16897,13943
+,19894,1108,4635
+,11700,3809,965
+,3153,2302,12649
+,19100,6217,11767
+,15599,10798,1332
+,15771,2086,13669
+,1150,16506,8004
+,15052,18982,8074
+,1393,7776,7235
+,13856,8142,11690
+,13673,7610,19908
+,17832,3945,14176
+,12121,15460,7424
+,6205,18445,19281
+,15335,606,7162
+,17758,6977,13084
+,3554,16920,19874
+,7285,11685,6616
+,6048,9761,19803
+,18370,13724,95
+,16981,1508,15355
+,5878,11888,12862
+,9363,1878,18642
+,18486,1263,13627
-,163,0,0
+,6431,13268,13008
+,7806,9508,18850
-,982,0,0
-,248,0,0
+,10063,16034,15646
+,17627,8852,19625
+,17812,10576,5318
+,17791,16158,3806
+,14133,7536,19199
+,13518,17932,18757
+,4139,4398,2925
+,18041,6428,14012
+,10153,15007,6140
+,11531,19880,4171
+,14002,13495,13801
+,5064,11843,8822
+,13295,14644,4801
+,15386,1513,1059
+,4036,3051,3765
+,1226,6493,19451
+,7508,19496,10788
+,8422,16552,3503
+,14762,13899,5583
+,17720,5073,859
+,4074,5948,9704
+,111,19613,16873
+,4271,1802,8437
+,11689,7885,13436
+,10136,14460,11332
+,9827,4497,4442
+,14820,3185,13213
+,19845,7408,5881
+,15045,17286,12973
+,3857,3487,15523
+,11354,7468,19130
+,18871,16175,382
+,17096,16737,529
+,10548,10961,2057
-,817,0,0
+,8235,4683,3624
+,19405,7513,12641
+,3062,9071,4812
+,17552,12784,1403
+,5312,5264,4931
+,10121,11512,9272
+,17493,10820,3095
+,14014,10120,3150
+,15494,6877,966
+,18351,9639,17593
+,7505,218,684
+,5525,2561,17554
+,3133,7904,4545
-,5,0,0
+,3832,12324,10855
+,19805,8838,10991
+,9063,15749,7093
+,14332,13387,11270
+,14890,982,3176
+,469,15564,5144
+,9994,19935,945
+,11670,18208,303
+,18137,3048,15562
+,8038,13567,17325
+,7101,12198,10936
+,1824,17226,6040
+,4464,6689,8992
+,17307,10561,5612
-,435,0,0
+,5083,5948,3103
-,719,0,0
+,8816,11860,9453
+,8087,6428,7873
+,14957,19938,12905
+,10978,11385,19781
+,1979,2451,19629
+,11542,7687,14582
-,343,0,0
+,3779,4257,835
+,12419,4333,1599
+,8085,8381,9665
+,161,13395,3181
+,14719,19209,14436
+,19633,1041,3106
+,702,456,10899
+,5193,13132,18662
-,128,0,0
+,237,915,12607
+,9200,517,11304
+,18543,16136,1995
+,19655,15860,17855
+,3288,15564,15225
+,4803,16206,7649
+,19779,5407,15993
+,5291,10036,8517
+,19031,8036,8136
-,301,0,0
+,8310,19741,3254
+,14113,7647,11469
+,4291,9939,13039
+,16337,18630,15978
+,10971,8423,2426
+,8103,6320,16851
+,16483,12709,16462
+,4100,15443,18654
+,19863,4904,15038
-,859,0,0
+,13537,17913,4562
+,14549,10620,3882
+,10642,5857,15684
+,1734,11582,3765
+,7854,9652,19937
+,13397,1726,924
+,4232,19807,3392
+,4997,9441,7010
+,10968,15667,4153
+,18079,17648,3694
+,7529,19945,17792
+,1893,10039,4278
+,18751,323,2471
+,8177,302,13825
+,19903,10719,18507
+,4284,579,7097
+,1094,12740,4323
+,3868,5973,17565
+,6345,12712,17832
+,3029,19328,5776
+,16052,2330,1080
-,699,0,0
+,1630,4487,3876
+,5283,18427,6559
+,16442,17551,18202
-,104,0,0
+,7618,14567,17146
+,13498,7711,8960
+,2264,18738,18410
-,375,0,0
+,2797,17464,12146
+,10654,1677,2758
+,3823,10814,6016
+,4933,351,8860
+,13602,8225,5237
+,7881,3943,563
+,9534,15398,19927
+,14366,5493,19889
+,6413,17448,16957
+,17428,18026,16977
+,10469,7654,14428
+,4207,18874,15983
+,11138,9092,18563
+,13339,5050,5661
+,7006,8115,3291
+,11602,582,9746
+,12303,9167,8275
+,19852,14899,8646
+,11835,938,952
+,8980,13213,18200
+,6737,14992,3957
+,18338,1280,16378
+,12277,14245,11038
+,7417,9063,15471
+,19315,19410,12680
+,1209,19866,16692
+,1072,4051,971
+,6752,8114,6478
+,116,558,18248
+,15239,10352,2992
+,17730,2631,7346
+,13757,11661,1515
+,17873,14534,7255
+,19113,5537,1720
+,9921,3527,5071
+,9596,17724,18114
+,258,6925,11603
+,2585,5392,974
+,18436,18805,18958
+,1341,3330,14507
+,17934,9073,9582
+,12123,18387,5501
+,2395,15614,19112
+,9120,17046,4430
+,657,7097,19385
+,16008,12614,12026
+,18684,18528,11051
+,8900,575,13923
+,6683,6140,14096
+,14248,2311,17239
+,9398,780,4224
+,3949,15512,1667
+,775,12216,5346
+,16579,14160,5936
+,3409,3733,4563
+,15972,9709,4202
+,3111,8774,16147
+,13367,10570,226
+,9312,14711,16093
+,15593,8960,16864
+,18567,18962,6053
+,10306,14299,10288
+,11743,11023,366
+,6921,18763,7809
+,14868,4596,7866
+,13586,3911,205
+,13191,5211,13669
+,17168,9357,14603
+,9671,15842,9315
+,3909,9568,2086
+,16611,2988,3078
+,18962,8629,11767
+,18029,14115,5863
-,358,0,0
+,12808,12803,12436
+,12647,19496,8069
+,9849,17789,10726
+,5782,13766,17480
+,5108,13832,229
+,10144,13605,19887
+,3440,10625,5231
+,15301,15361,19141
+,15511,19517,18055
+,2337,9834,1248
+,17997,10927,7953
+,7046,6355,8061
+,14170,3607,7117
+,18287,15724,15749
+,4446,10353,2693
+,7620,9435,8462
+,5877,10738,11206
+,12394,99,10028
+,8795,14051,16045
+,115,2700,4726
+,9219,3766,14692
+,18762,11363,5398
+,7800,18382,17666
+,1713,3303,1566
+,4242,18456,1666
+,4857,1747,18335
+,3425,11419,17735
-,49,0,0
+,4553,8850,8990
+,13584,5714,561
+,8551,4323,3331
+,12684,9377,11414
+,19529,3335,2283
+,14262,18092,13892
+,4984,18509,1869
+,16203,19390,2747
+,12801,5845,90
+,1915,15561,6108
+,1093,3508,9252
+,3400,6306,2997
+,8260,12228,8375
-,866,0,0
+,6471,331,12727
-,258,0,0
+,6837,17768,18010
+,18551,15014,9835
+,9467,1313,13714
+,9876,14886,2503
+,10227,9393,2962
+,3497,16395,1133
+,16784,2219,1478
+,11577,10205,7653
+,1060,17006,5745
+,8963,11200,15556
+,5740,11106,2532
+,3977,16987,12519
+,17774,14120,2086
+,3613,11633,19799
+,3777,6563,1602
+,14532,9894,1370
+,19749,15298,16665
+,17423,5896,2587
+,6484,5638,5964
+,12243,13657,6452
+,3848,2974,2036
+,3471,19335,15548
+,19441,247,9841
+,12463,8005,5562
+,2604,19910,16097
+,17718,408,13289
-,655,0,0
+,17533,1479,7310
+,6057,275,2234
+,8618,6268,13466
+,4471,4444,11014
+,5452,7771,8231
+,4657,12365,16229
+,5539,18908,15603
+,11530,8811,6183
+,2507,2272,1180
+,19089,3834,19282
+,17070,3564,11255
+,1468,7542,14393
+,15057,17621,11447
+,13609,10720,8113
+,17530,16563,10350
+,19286,13480,2441
+,13752,15124,10668
+,529,14446,1331
+,5508,5047,3981
+,5218,18698,9082
+,2628,17214,1167
+,8621,16471,10349
+,1030,11618,1430
+,15747,18852,2936
+,18698,6169,807
+,13079,2550,17043
+,2435,14036,1963
+,5675,18236,6098
+,9068,10966,16519
-,65,0,0
+,913,19839,17914
+,12701,11489,4550
-,997,0,0
+,3140,9349,19460
+,2001,9109,10753
+,15770,8356,5578
+,12853,11663,924
+,8023,5350,16235
+,7483,19859,5351
+,10521,12001,17298
+,16812,10079,16479
+,15925,6396,3376
+,2403,6646,14089
+,16206,3568,16244
+,17485,12809,8998
+,793,14828,18449
+,526,18116,12734
+,3739,3147,2772
+,15055,16490,138
+,15023,13706,2
+,9146,2267,19206
+,6851,2958,8305
+,6989,4595,11868
+,13778,13192,17225
+,9959,12248,12605
+,17699,3149,16237
+,5949,3140,9385
+,11961,7400,18624
+,16048,4768,15893
+,13710,3116,8003
+,7674,3851,9741
+,10410,19304,6448
+,2374,6862,18916
+,15334,18055,3861
+,18833,15067,9959
+,10220,15902,14873
-,914,0,0
+,19533,1060,17869
+,151,4564,16416
-,285,0,0
+,137,10029,18621
+,19184,7080,10144
+,13453,9368,10329
-,86,0,0
+,14738,14182,18942
+,13982,16410,10913
+,11038,9759,10732
+,13142,333,7121
+,2131,6985,12648
+,2376,7217,15731
+,15414,3202,8683
+,8138,10644,12142
+,4897,4839,6814
+,7482,6031,16232
+,15426,12290,13460
+,14629,10456,17590
+,18299,18654,3882
+,7066,471,16984
+,18878,5038,17191
+,3353,8259,5332
+,9842,5355,5384
-,338,0,0
-,684,0,0
+,15283,5756,19754
+,7773,6050,8946
+,19757,3310,8364
+,9039,13043,834
+,17326,14022,16721
+,4461,8944,14134
+,11892,15478,5204
-,248,0,0
+,25,7846,5747
+,16000,793,8805
+,10102,7425,10669
+,2598,13027,2982
+,1361,17259,9404
+,10130,4954,11658
+,16062,14505,10271
+,18280,6262,1526
+,9678,11340,3005
+,7104,8408,19104
+,350,18279,9698
+,4977,11482,19934
+,5854,3235,13660
+,5553,17431,14920
+,18135,2306,10642
+,1353,1342,4481
+,11262,7498,15405
+,15674,240,2448
+,16826,9696,173
+,16416,5890,17501
+,10961,15360,4394
+,19804,18059,7585
+,6586,18907,2217
+,14169,6971,9393
+,5385,18513,18807
+,11103,2809,147
-,162,0,0
+,17930,17018,10310
+,16124,18840,9022
+,13075,18731,5246
+,16025,17189,16079
+,2646,19707,4389
+,10564,16878,6752
-,542,0,0
+,9117,7253,9593
+,13341,3436,390
+,5130,8600,19379
-,592,0,0
+,13806,1772,16396
+,17984,2630,17043
-,649,0,0
-,278,0,0
+,6081,9076,13927
+,10998,2465,18164
-,23,0,0
+,8283,17707,3169
-,979,0,0
+,17606,16094,2934
+,932,10007,10314
+,8157,61,17227
+,8499,9128,5357
+,1194,835,7257
+,11624,18084,2089
+,13645,8876,18436
-,947,0,0
+,7661,2401,1146
-,582,0,0
+,7500,10963,804
+,13588,8105,11253
+,11891,6876,9295
+,17447,7321,12898
+,16138,18976,7961
+,2153,10836,13444
+,10775,9567,289
+,17823,10309,11763
+,3294,6153,1949
+,12551,14636,13916
+,1321,7196,9497
+,7920,17619,14858
+,14814,4742,16314
+,4397,15507,14506
+,1784,10795,2519
+,4273,9759,1298
+,18037,12834,10727
+,15281,3189,2512
+,7733,10607,9392
+,7807,6258,15764
+,10187,19140,4911
+,11316,9414,1223
+,298,11176,9993
+,8817,2472,17957
-,993,0,0
+,2015,19950,6407
+,15466,10184,5085
+,14306,4297,10845
+,16190,14886,9330
+,14348,8742,13304
+,7584,6301,596
+,18648,8017,9325
+,8420,14019,11376
+,1403,5106,11303
+,2695,7830,5337
+,11196,15779,11632
+,19882,12815,12668
+,5770,7908,18000
+,19080,6600,15482
+,10687,16341,10725
+,7612,391,15856
+,19242,5621,6571
+,5154,16175,3168
+,15463,14562,12748
+,1105,4090,16514
+,9007,5354,15108
+,1663,19717,4229
+,3934,7794,7857
+,5798,4230,12911
+,9205,4028,11937
+,2854,8109,9752
+,6215,15440,8745
+,14465,9210,14648
+,7933,17350,4132
+,12907,15716,10889
+,8367,15196,19376
+,15647,19540,5677
+,15673,8807,17893
+,19877,15435,2459
+,6548,17888,1582
+,5909,18162,335
+,18087,6476,18810
+,6219,16473,18649
+,14198,10731,2532
+,331,18154,11341
+,17408,8898,5732
+,18616,4735,764
+,16375,13315,5401
+,18606,3948,5681
+,12450,3518,1038
+,5079,16103,1947
+,17913,4691,11432
+,13080,9309,7753
+,14484,6186,9895
+,17190,14040,17568
+,11330,16065,2285
+,1621,2909,7237
-,119,0,0
+,13660,4136,5132
-,373,0,0
+,9275,16123,6763
+,8544,8000,14664
+,16796,6523,11608
+,16878,19199,3851
+,12111,17831,717
+,19097,19987,7760
+,17661,4431,6024
+,9877,10267,2588
+,17406,14265,14530
+,9380,13486,12598
+,10732,7362,14566
+,18673,3238,15213
+,5735,15181,15795
+,4883,7572,13463
+,8522,831,2433
+,6865,6680,4315
+,16371,16169,8523
+,1774,12761,16612
+,18275,16041,14918
+,18162,12471,10134
+,1163,17813,11621
+,7735,15429,17779
+,5891,15652,213
+,12098,216,12183
+,9347,6423,19437
+,13451,19,16593
+,18834,13037,13256
+,8470,18295,13436
+,16494,15338,3770
+,13885,15371,123
+,17051,5960,7049
+,8143,4512,4353
+,6764,15557,12930
+,15846,13150,9054
+,947,10518,13730
+,6771,6970,3340
+,5363,16874,5388
+,18747,7231,1770
+,6648,11185,15293
+,19370,722,3339
+,1578,18502,7887
+,18491,7590,4053
+,3503,16299,1195
+,15793,7123,4114
+,18994,11670,13775
+,8598,5793,15873
+,5914,11222,18064
+,16513,2551,4320
+,4623,15573,5187
+,3989,10944,13413
+,2523,7323,11816
+,669,14930,8502
+,1011,5705,6640
+,2377,18867,14077
+,14548,18242,3824
+,13898,7351,2913
+,3866,13205,9967
+,14274,2872,14390
+,179,26,13726
+,7821,14425,1785
+,9340,3359,6830
+,7683,19183,5892
+,3319,18270,16922
+,4841,552,10868
+,14271,7887,3443
-,886,0,0
+,2372,6602,19392
+,4872,11516,1219
+,10031,2397,11234
+,9631,3074,3676
+,14126,2876,1692
+,13515,8963,7821
+,8407,17019,16181
+,18285,12684,18499
+,5311,4370,12281
+,14196,6077,12015
+,13510,1541,3529
+,1236,14879,15850
+,16184,3336,12807
+,10700,15730,11911
+,5439,17625,17960
+,7103,12451,14168
+,12182,13619,5027
+,10770,4428,18593
+,14513,15275,10420
+,10090,10015,12106
+,18655,6418,5245
+,5125,17716,15644
+,16098,8221,554
+,7155,17587,9750
+,2941,18796,14574
+,2677,12315,39
+,15016,13734,12782
-,363,0,0
+,10311,15525,1989
+,6863,7477,19197
+,4793,14176,12980
+,8110,1615,8635
+,16359,5511,13706
+,14210,1411,5196
+,10428,18605,14685
+,15630,6550,12687
+,10777,6412,15076
+,12644,10923,11635
+,9645,10506,10854
+,8719,18939,15009
+,8507,14245,2000
+,5565,9525,16849
+,11735,16428,7264
+,4317,11440,18447
+,2673,8703,15873
+,4032,16253,8837
+,17983,19556,19631
-,301,0,0
+,16768,17533,11911
+,14201,10817,2225
+,8984,17570,14952
+,17474,5705,14377
+,12297,19185,7113
+,4574,5965,11388
+,8395,412,609
+,16728,14191,3814
+,16781,15462,1197
+,9553,552,9189
+,6987,9537,11328
+,19249,4592,1680
+,3938,15954,11665
+,2857,19824,11483
+,17431,3273,4837
+,18019,3167,13314
+,9599,12483,11244
+,1924,9334,12216
-,364,0,0
+,10940,4015,10102
+,9798,5499,18731
+,8301,3352,11170
+,18979,8328,14043
+,17412,4162,17364
+,1741,18434,3804
+,2528,12999,10636
+,17228,2558,9471
+,8552,17040,8455
+,16431,7349,4063
+,1737,2201,2993
+,7298,14796,1476
-,221,0,0
+,12139,10414,11967
+,4382,16698,9205
+,14998,2466,15288
+,1579,3866,8295
+,17816,1281,3557
+,3115,6526,3325
+,18816,12483,2180
-,178,0,0
+,4303,13946,2531
+,17057,6851,178
+,11306,400,11115
+,18249,3118,6311
+,518,7711,18743
+,15636,14966,19350
+,9641,18777,14902
+,15701,15930,7038
+,11197,17214,7885
+,5471,10594,11718
+,6421,9231,18192
+,18914,9699,3276
+,16746,11034,269
+,10944,6778,18375
+,9718,9840,8803
+,14620,5216,9871
+,12534,12008,8806
+,7823,10816,6252
-,744,0,0
+,4006,5327,1012
+,6092,2161,15510
+,4229,10503,17332
+,19143,11278,17293
+,11304,8231,4642
+,5146,19760,2911
+,1092,7743,6588
+,1055,2752,10034
+,933,10765,6044
+,13231,8676,4131
+,17030,17588,4515
+,2058,18381,8915
+,12333,1937,7951
+,8265,2006,13264
+,9757,19289,2474
+,8404,5579,15194
+,4344,15238,17943
+,4886,3537,1476
+,16601,16738,4498
+,16719,6573,13275
+,13373,6190,18723
+,4935,15116,8643
+,10152,14235,19542
+,10292,212,15546
+,7194,7149,16607
+,19857,6769,4840
+,10215,10764,992
+,10021,14585,7331
+,19203,6140,12816
-,618,0,0
+,17914,5568,15976
+,19268,16811,3103
+,9864,2952,6599
+,9853,16262,11184
+,14152,11875,9484
+,18494,12748,8725
+,2147,8450,95
+,18562,3657,4781
+,15221,3224,17149
+,15554,378,941
+,1005,16658,7353
+,9411,19941,2843
+,6617,17515,14699
+,5616,19307,16234
-,933,0,0
+,17298,12944,7007
-,825,0,0
+,13038,6608,19224
+,74,19956,8619
+,9912,3382,12885
+,12129,98,1752
+,628,9613,15729
+,5881,8145,7364
+,1293,15558,10341
+,12393,16769,9649
+,8414,434,7022
+,15063,19193,14487
+,15698,5490,2116
+,17974,3394,11954
+,11356,16549,6806
