OP,A1,A2,A3,A4 
+,4118,6403,7775,8530
+,5921,1063,1055,4860
+,814,6392,1672,372
+,3470,9172,4483,7867
+,8042,9341,1203,5710
+,513,7040,8502,9383
+,928,6725,4856,1
-,60,0,0,0
+,4721,707,1214,5954
+,1357,8899,9924,96
-,278,0,0,0
+,648,9750,9957,3532
+,5757,9651,1449,8855
+,7188,4624,3272,6290
+,105,2435,9118,6584
+,9447,2184,2581,4906
+,2262,4267,156,5707
+,8844,288,2328,7792
+,8188,4497,4902,782
-,597,0,0,0
-,872,0,0,0
+,276,2940,9167,1083
+,2906,6422,4521,633
+,5449,1741,1797,3640
+,3749,3237,6858,1822
+,9012,567,137,563
+,3236,7686,7973,6355
-,544,0,0,0
+,3498,3660,5214,5934
+,8559,2150,656,5993
+,8767,5941,7808,9309
+,6244,2386,9789,7615
+,9883,6401,9892,7593
+,2073,8198,1391,5662
+,3723,9509,5435,9349
+,8093,3406,2796,4239
+,371,561,8432,9099
+,6908,1448,1566,7678
+,5015,9864,3114,1871
+,6727,7455,4498,1016
+,8539,2429,8903,4572
+,2854,6681,5631,8699
+,7037,9866,7118,739
+,4938,2471,1150,4168
+,4761,551,7107,624
+,2944,5598,4893,6736
+,3455,380,8944,3908
+,6719,241,9961,2711
+,7683,5126,3474,9499
+,2462,2110,9690,9512
+,1543,2079,9733,1470
+,9514,2527,1583,2011
+,4371,4404,811,7902
+,3753,4104,9773,4799
+,3915,4372,6958,9405
+,3941,6054,1844,6898
+,2888,1400,8788,2980
+,2638,5809,4684,7671
+,4954,1710,1893,4687
+,970,5247,7471,9716
+,7026,4953,3922,4741
+,2126,1037,7187,5687
+,9278,6238,9828,8635
+,3134,3255,5997,7786
+,1595,264,6577,6635
+,1011,2606,6847,9614
+,7310,6182,9421,9765
+,1967,5164,7539,4218
+,9704,1285,5953,5400
+,2453,2649,1056,9629
+,6074,1207,3720,4181
+,1650,9770,4285,9541
+,3986,8948,5068,2416
+,8152,5590,4380,3611
+,3412,1241,6443,578
+,9184,9418,586,5544
+,4073,338,5048,5104
-,401,0,0,0
+,1508,4601,3621,9271
+,64,7338,294,4851
-,29,0,0,0
+,2812,9840,5744,9714
+,2523,7161,4903,9880
+,6441,1767,7603,5299
+,4035,1701,2624,8206
+,4126,5635,734,663
+,43,7529,7336,5658
+,1399,2598,7865,7563
+,6318,2404,8228,6618
+,6339,5912,4967,4982
+,6643,4148,9210,4340
+,5600,4914,8588,6293
+,5518,7875,2327,7897
+,1540,7725,1488,6339
+,5791,5786,8867,9375
+,9527,615,927,5225
+,7273,1677,6869,1518
+,2994,6360,6257,4339
+,109,5280,8,2668
-,811,0,0,0
+,6174,5763,862,9064
+,1363,7014,4090,7368
+,5118,1862,6368,8417
+,7590,4819,2680,1955
+,9117,5860,4400,5082
+,1074,1854,1904,4066
+,7510,8286,4869,6233
-,129,0,0,0
+,1245,423,1830,972
+,3289,4345,4224,4309
+,1529,5578,8813,78
+,2543,758,6580,3018
+,5268,1326,9005,4262
+,2254,5992,156,7226
+,1172,1070,7596,5083
-,123,0,0,0
+,4077,8053,4081,6381
+,8943,4924,9877,4820
+,2765,5132,2916,8278
+,76,5034,5397,1357
+,3133,1758,9100,2174
+,5526,10,6626,1718
-,748,0,0,0
+,5544,5238,23,1434
+,4277,2719,6077,1936
+,5929,1224,6940,2454
+,5851,4342,2022,5018
+,2365,3846,2939,9312
+,8089,2682,420,3663
+,4040,5341,2801,1450
+,8225,4963,3914,4571
-,10,0,0,0
+,556,2863,4370,5862
+,4727,9716,3964,5276
+,3506,4811,923,2827
+,4686,3892,1247,4362
+,1258,6437,2003,5768
-,223,0,0,0
+,3345,8404,5411,8307
+,6031,6065,2665,2158
-,317,0,0,0
+,6527,8214,8688,550
+,8360,3267,2234,4798
+,5337,7127,7974,5911
+,7605,5701,3967,6636
+,2902,6848,4638,2892
+,7449,6223,5546,5698
+,7903,4197,5088,6814
+,4569,3415,9216,5968
+,870,1260,7464,9272
+,9701,1449,1618,9858
+,2895,8374,9780,9706
-,258,0,0,0
+,2565,9947,8959,3778
+,4979,5822,884,4211
+,4468,8838,8327,8260
+,448,6060,4375,4134
+,2290,9322,4592,2167
+,4266,5239,721,8286
+,3865,6586,5577,5815
+,740,5765,6350,7770
+,6950,8973,5753,7904
-,926,0,0,0
+,77,714,8109,7725
+,7391,5340,2465,9208
+,7207,9289,7530,2190
+,9208,7329,4737,2791
+,8391,2538,7437,587
+,951,727,5867,1582
+,1679,3941,219,3973
+,6229,9688,39,6112
+,9632,7854,4530,8518
+,4404,1732,736,3475
+,6009,9002,1347,9188
+,8158,3566,3686,6997
+,3000,6422,4225,5586
+,8776,3940,2094,7627
+,1612,2925,842,1014
+,5971,8740,4656,6850
+,322,2330,319,7881
+,158,5659,8337,2410
+,4860,8475,1865,1275
+,3001,2806,4734,6641
+,9970,5996,3075,9955
+,7464,2591,7225,2036
+,3782,3260,6500,11
+,9413,549,7754,7768
+,1853,1175,7173,5361
+,5453,9762,6990,1406
+,9757,4492,1265,2284
+,2519,7607,3562,9545
-,673,0,0,0
+,9432,2567,3389,5508
+,4457,1158,1723,5177
+,2179,9578,2289,2115
+,4836,7236,6229,123
+,3293,5098,5264,1159
+,1524,888,1793,4390
-,164,0,0,0
+,6943,4524,7538,894
+,3563,5313,7247,1031
+,543,7750,4249,1658
+,1162,1625,3965,9808
+,5404,5893,9426,3707
-,723,0,0,0
+,550,4935,6029,9000
+,1788,360,1951,9456
+,890,3679,158,9185
+,7229,9003,1344,8194
+,6512,7587,5273,1589
+,1767,2537,5586,5774
-,102,0,0,0
+,9281,8708,8374,455
+,3100,7336,3235,9601
+,249,6645,6956,9641
+,2252,1386,4994,1229
+,9891,9137,9687,3761
+,6666,2824,476,2670
+,2525,6165,1706,6657
-,137,0,0,0
-,49,0,0,0
+,1971,6822,4607,2410
-,413,0,0,0
+,7731,6403,4797,8703
-,263,0,0,0
-,424,0,0,0
+,8741,3145,5718,2226
+,7991,5599,792,8939
+,9105,992,3476,3659
+,7886,3098,3563,7568
+,7497,8158,7015,6131
+,7120,1408,9524,1469
+,2294,4019,4941,7343
+,2268,59,5034,1767
+,9342,8806,934,6347
-,209,0,0,0
+,268,8967,3476,782
+,4150,7997,5744,6214
+,691,4512,2988,4634
+,4900,1188,5983,586
+,6213,4377,8686,4719
+,8135,6541,4446,9781
-,996,0,0,0
+,1003,9865,1814,2333
-,314,0,0,0
+,3439,2551,7749,7705
+,8835,9749,4905,3772
+,1046,3980,5405,3665
+,9617,6979,822,9703
+,1336,5982,5400,1780
+,9907,3347,3535,1483
+,3208,8574,6810,1612
+,988,1713,3554,7711
+,4969,6918,5489,9108
+,6405,4304,9871,384
-,367,0,0,0
+,6771,4574,3803,7653
-,172,0,0,0
+,9798,3308,7884,8577
-,717,0,0,0
+,1954,7343,2329,4345
+,8891,5352,5098,736
-,866,0,0,0
+,883,1586,3261,2981
+,5199,1240,5618,4948
+,3373,2321,267,3835
+,9002,1981,7324,576
+,5229,6040,5568,8571
+,5144,8520,489,4947
-,194,0,0,0
+,7624,4470,7008,4266
+,5814,2865,3046,7388
+,9022,2562,8243,5248
-,79,0,0,0
+,9126,4150,2901,9105
+,482,698,2779,1833
+,9570,7691,2145,3272
-,436,0,0,0
+,282,3892,7328,4481
+,3868,1784,9660,1676
+,4633,2214,4246,3321
+,3774,3222,9421,3313
+,4637,2678,3679,8699
+,6920,1704,3553,2429
+,4074,4224,5968,4645
+,1858,6921,8428,1646
+,2244,4790,3092,708
+,1911,7240,6411,2013
+,5398,4750,2879,359
+,8324,7075,6626,4811
+,3671,3517,5769,235
+,1590,9367,7432,8927
+,9007,254,5175,558
+,3693,3057,4080,6553
+,6547,3293,2752,2050
+,2155,7177,5263,1823
-,742,0,0,0
+,9591,6127,2280,1659
+,2665,4224,758,4525
+,164,266,7294,9550
+,4014,317,7292,3936
+,3964,5120,3235,7742
+,5236,4151,8451,7384
+,1129,310,7887,5377
+,8670,2146,766,1862
+,3924,5130,7118,5643
+,4591,5198,5321,908
+,892,8714,2620,1589
+,3029,2391,6484,2187
+,790,1789,282,4314
+,1233,1332,9506,2437
+,5475,6165,7699,3692
+,1937,9635,2343,1351
+,9684,4304,6061,9438
+,3731,8031,6912,4752
+,9698,5224,952,3961
+,8436,8335,1276,3909
+,9843,1091,2497,7239
+,6015,4612,1394,9531
+,2987,8576,6854,6787
+,3772,3669,8607,4003
+,5211,2228,6276,6990
-,711,0,0,0
+,995,6775,6575,18
-,122,0,0,0
+,460,7391,1202,668
+,3115,1417,419,7977
+,4597,2603,2635,7007
+,4374,4930,2288,3498
+,8714,5225,5761,1343
+,3303,9071,8818,3064
+,8566,1689,3235,5115
+,102,8079,8660,8397
+,5606,6056,7467,8309
+,7926,6677,8763,7712
+,9236,7233,4615,1885
+,2557,6648,3770,8836
-,493,0,0,0
-,359,0,0,0
+,3790,2867,4709,2880
+,7030,7446,5550,8945
+,6139,7109,781,3242
+,5938,2622,5166,6353
+,8763,4974,7446,2135
+,6268,9194,9123,9103
+,7171,3619,3970,2364
+,7182,797,9141,3981
+,4605,6021,4946,792
+,2372,3039,7399,1056
+,2531,7456,7946,9597
+,8712,1814,8081,5848
+,4741,5831,6667,9322
+,9297,5666,541,939
+,9967,7796,2276,4931
+,7742,6388,6127,66
+,9637,2550,8856,2508
+,3177,3396,1384,707
+,3593,833,9537,8189
+,6466,2869,5204,327
+,3330,8958,5049,5700
+,617,8961,3228,6331
+,2074,2979,2276,4987
+,1588,7385,2136,720
-,591,0,0,0
+,1532,8161,5803,2109
+,6415,1425,4761,6113
+,2308,3999,4671,4671
+,7650,8993,3971,6005
+,2258,8235,4278,8268
+,6952,5557,3505,1173
+,9874,3523,9206,4962
+,2892,7190,4365,9130
+,1170,1699,1363,9179
+,9409,8705,1676,7071
-,532,0,0,0
+,9081,4310,2173,3725
+,8155,2540,2032,3147
+,899,3488,2237,4870
+,6875,7884,1193,71
-,607,0,0,0
+,4623,21,7170,953
+,5674,6464,8924,7036
+,5155,6923,8671,2695
-,987,0,0,0
+,7931,6325,8952,912
+,4308,198,843,6177
+,6871,8608,4897,5968
-,485,0,0,0
+,5305,7560,4648,6375
+,644,8759,5678,4031
+,9718,3163,7676,8881
+,8577,9787,108,5394
+,8636,8484,5361,5311
+,1140,878,3426,874
+,2741,9961,4551,277
+,6897,9648,5224,7194
+,4666,8581,828,2107
+,3304,465,6779,5417
+,577,6355,5564,1116
+,5430,2219,6982,6701
+,7962,5468,4173,8624
+,4787,8613,5051,4983
+,4237,6397,3504,7341
+,3891,955,3518,214
+,831,2420,4421,2830
+,3061,7760,2477,8993
+,8186,4351,1543,7099
+,4738,5039,6613,149
+,7716,3096,5145,8951
+,3994,6563,733,6520
+,8915,4138,8753,2609
+,4603,8106,7734,6496
+,4164,4818,9040,2109
+,8239,1029,2574,8329
+,8739,1570,843,862
+,4291,9455,1615,3461
+,5064,3899,2477,826
+,4533,8756,3989,912
+,9138,6184,8065,3969
+,6679,1881,7018,578
+,5088,3668,7195,1326
-,378,0,0,0
+,5129,6619,3182,289
-,29,0,0,0
+,6545,3454,3999,2224
+,5005,5134,8800,1984
+,604,7003,1900,3993
-,976,0,0,0
+,1873,9983,562,6295
+,5599,2366,2793,3013
+,2242,5522,3791,1369
+,8573,6566,2610,2199
+,4626,8404,2480,6979
+,4998,596,88,4531
+,2429,8122,2367,7549
+,8667,8369,3094,6247
+,7613,7531,5756,6843
+,6799,7096,8668,7379
+,5815,2874,6753,1811
+,2309,6403,7945,6347
+,8050,881,4142,4702
+,2891,2664,1340,2784
+,6359,1114,4586,4864
+,8134,7464,9816,7136
+,6469,6598,6227,7680
+,5165,8753,7671,981
+,7469,9598,6601,3891
+,202,8477,9919,5646
+,8973,2465,1185,1511
+,2978,5882,5484,2216
+,787,3124,7117,4197
+,8935,7786,9052,6020
+,6005,9599,4412,3068
+,8415,4578,3994,566
+,8173,6203,8833,4379
+,4858,9952,4,4744
+,3073,1131,4525,8119
+,115,103,7434,3422
-,851,0,0,0
+,985,9490,7542,6173
+,9993,2571,6815,6198
+,8147,8765,3250,1114
+,2140,4208,2856,7605
-,455,0,0,0
+,8702,964,3820,9614
+,8653,2965,144,1360
+,2225,9548,3903,9766
+,2605,1722,3419,2261
+,7704,6072,6024,1511
+,7495,787,3740,5056
+,3977,6370,8166,6807
+,3435,9346,9090,6578
+,2609,544,2870,4583
+,2494,8680,1430,8008
+,2221,1411,5648,1368
+,9731,403,8485,3525
+,4275,2765,5341,5390
+,8895,8209,4303,2451
+,8815,3989,7664,8439
+,5767,5859,3906,4668
+,2090,6905,4353,1892
+,6314,661,6826,1613
+,4168,9395,1322,496
+,4313,9998,578,3249
+,9951,4652,826,9058
+,7209,9378,1109,8069
+,4105,1554,6955,8358
+,146,8364,1249,7737
+,2166,1863,8678,5153
+,3688,8524,155,8386
+,4347,1443,5934,8306
+,8462,4156,18,3646
+,6304,9949,5606,2651
+,8355,5210,9371,3647
+,1291,8181,5294,743
+,6740,9165,5547,3613
+,6967,4582,3798,2880
+,7373,3404,5150,3974
+,8095,2544,5045,890
+,9958,6075,1602,7941
+,1904,9842,6744,4280
+,8166,7515,9846,1412
+,4749,6598,1256,4753
+,7322,2225,2951,943
+,2018,7352,7368,1118
+,32,5458,4973,6010
+,7455,4590,9798,6497
+,3875,9835,7306,3204
+,7316,4915,8479,9018
-,775,0,0,0
+,767,9772,189,6581
+,168,3165,9742,610
+,5573,3127,9885,7242
+,7653,3253,4021,3780
+,7611,2264,7510,4525
+,6619,5413,4859,7965
+,2477,2326,8543,6379
+,6588,3974,1430,6204
+,9924,2319,5359,7950
+,4461,3270,8529,8469
+,5481,5431,4608,593
+,9649,4526,7064,264
+,2777,5111,9623,3028
+,1472,9526,8968,1166
+,5522,4710,7114,3558
+,3729,6456,96,3049
+,528,5103,9811,2826
+,7380,1581,7418,5814
+,5372,9701,9794,290
+,3509,3677,4082,1526
+,2919,6479,8193,815
+,5406,3775,8441,3937
+,2656,1908,4038,935
-,642,0,0,0
+,6503,4807,2950,90
+,2783,1663,190,3832
+,3,3917,8894,7135
+,1775,2224,5615,1278
+,5351,2908,6923,74
+,3171,2995,7587,5312
+,2648,3648,1459,7436
+,7887,4879,8120,8855
+,3989,8123,125,4185
+,3211,5913,4383,8623
-,899,0,0,0
+,9470,2638,1326,9046
+,822,7372,6097,79
+,2691,9232,8095,7438
+,8065,4850,922,6214
-,870,0,0,0
+,1409,9006,2654,6597
+,7314,2107,3249,57
-,266,0,0,0
+,1535,400,5032,385
+,3425,4930,2860,7267
+,6351,7134,3776,2204
+,8938,9572,4904,3019
+,7582,1668,9659,1272
+,2441,5687,8895,2864
+,2382,5091,2412,3443
+,2475,1611,2203,8858
+,3480,7519,8767,5725
+,8064,8234,5969,1696
+,4990,2420,8756,44
-,912,0,0,0
+,9314,1184,5300,86
+,3121,8235,6102,3437
+,8124,8671,3212,1521
+,6990,7259,4879,7867
+,2011,5319,249,5882
+,6483,5302,8949,8562
+,6081,6599,6368,3468
+,3670,2274,7995,1362
+,4046,6749,559,856
+,6929,2298,2824,8804
+,7,4668,5008,7271
+,5201,4171,7844,3595
+,8175,7978,2110,6684
+,65,1084,304,4733
+,373,3300,3875,2621
+,3854,9213,5924,2499
+,5195,7905,7573,4360
+,3282,8309,1583,781
+,5625,9995,5363,8534
+,6204,2578,9568,17
+,8635,1970,8224,1439
+,3979,2479,4590,9224
+,6228,9016,1177,1844
+,4499,1935,1161,3341
+,6059,2330,5340,4930
+,1189,8008,6983,2704
+,239,505,9748,9982
+,6435,6518,4077,9826
+,4081,1152,3773,9144
+,1704,4365,5925,8411
+,7779,7397,2122,5451
+,9714,1199,1033,2974
+,9905,1721,1690,7852
-,539,0,0,0
+,2649,4174,2339,1454
+,5294,5034,2518,9571
+,5428,1423,3939,5812
+,4961,6028,299,1524
+,7522,8458,162,7487
+,5353,3255,7698,9776
+,627,805,6868,7864
-,419,0,0,0
+,3861,6201,7573,6043
+,1320,995,446,6681
+,8232,5724,9627,1095
+,5618,2120,9998,878
-,129,0,0,0
+,8963,214,1930,9810
+,531,4421,2761,4434
+,6164,9175,3704,5823
+,8672,6305,7168,9506
+,3307,6924,4092,755
+,5379,624,8208,1141
+,8839,3372,6579,4313
-,663,0,0,0
+,8526,753,9506,9405
+,9092,1252,4174,6393
+,6269,2954,720,4602
+,1094,9434,6912,6163
+,48,875,5799,3067
+,4545,8544,1629,8119
+,3700,6468,2088,7305
-,980,0,0,0
+,9755,3558,8614,2697
+,8040,1035,9446,2301
+,2761,8336,617,9438
+,3471,5284,2330,3160
+,5743,8598,1181,5716
+,3083,6654,4977,9890
+,4295,4693,7310,267
+,8357,761,2572,526
+,1972,7562,1654,8053
+,7105,1026,7103,7274
+,1682,7633,566,3236
+,7274,6953,8529,2725
+,2549,151,7556,2786
+,2259,9070,5082,9682
-,939,0,0,0
+,2325,7825,662,7377
+,402,4290,1642,5403
+,2191,67,5186,4693
+,4558,4179,2627,4254
+,9214,5720,8082,343
+,6180,6247,8543,6881
+,8137,3331,5270,2782
+,9051,699,8345,7996
+,7803,9873,5272,7360
+,6953,1759,3935,5433
+,9784,8862,758,3856
+,4265,5366,6941,1624
+,6858,9124,7702,269
+,8047,1362,4930,1284
+,7386,372,1415,1118
+,9866,413,6146,8646
-,816,0,0,0
+,7773,9856,9026,906
+,9361,9902,7553,3193
+,7525,4115,1306,7273
+,8417,6201,5335,6800
-,430,0,0,0
+,7085,5324,3082,8507
+,7039,9808,2148,5894
+,2947,2581,460,6917
+,969,225,3308,4966
+,4744,4620,633,6179
-,461,0,0,0
+,7403,5621,1203,3277
+,2693,7558,3345,153
+,8738,1213,4044,355
+,8311,866,7080,2104
+,496,3142,2303,4909
+,5071,2737,8620,745
+,307,6635,7413,6667
+,9396,5966,2376,7938
+,9720,9826,2209,2693
-,676,0,0,0
+,1622,3519,9165,4170
+,1918,7206,2718,5623
-,157,0,0,0
+,9717,7675,7710,2788
+,1634,4048,7914,39
+,4974,2806,7720,2452
-,765,0,0,0
+,8449,1401,5569,3327
+,2670,6006,2145,9623
+,7728,577,2006,2888
-,999,0,0,0
+,2877,3504,3680,3658
+,1531,5667,6323,7216
+,9655,980,9380,8081
+,4342,9325,9591,4617
+,1192,7904,3079,6386
-,969,0,0,0
+,8168,4896,9357,2524
+,1039,3507,4230,8435
+,4516,1830,9132,9612
+,5117,4824,7910,8261
+,8214,4163,2821,1976
+,9501,2266,2486,8117
+,4434,8439,4415,3732
+,7357,3333,4409,2322
+,9211,2005,4274,1046
+,5855,8916,3856,447
+,6230,1971,7915,4617
+,52,7743,9789,7059
+,1583,3018,6170,8740
+,80,4101,1989,6884
-,13,0,0,0
+,2933,1305,8411,9046
-,426,0,0,0
+,4825,174,8658,395
+,6885,7549,7423,8206
+,6302,5364,924,7274
+,4912,1973,4415,3372
+,9548,8208,8094,4801
+,2743,7114,5315,5528
+,5225,3579,5464,1932
+,1728,5574,3958,977
+,1346,1184,8031,128
+,7219,7014,9983,6427
+,3262,9853,3125,9210
-,273,0,0,0
-,647,0,0,0
+,2922,6486,5278,2185
+,1136,7556,4516,786
+,7502,414,2959,955
+,6153,6459,9853,3970
+,6717,4862,955,6536
+,6888,469,4596,9385
+,8520,4223,7202,3327
+,8114,8723,6062,8246
+,2497,7442,488,3519
+,8674,6137,1925,50
-,344,0,0,0
+,5142,4288,2033,3796
+,986,9816,3503,3450
+,2355,909,1205,1025
+,2430,4741,5970,3010
+,3611,7961,5685,7781
+,1480,1980,7526,592
+,7946,5172,4476,4439
+,1250,27,3003,7345
+,111,6060,9145,2083
+,7519,7775,1533,970
+,5134,9449,4052,8890
+,1464,7984,6221,2404
+,7555,7494,4774,2266
+,8652,4745,9201,9914
-,854,0,0,0
-,619,0,0,0
+,9695,625,4902,8120
+,5680,4060,5128,5360
+,3320,715,955,8319
+,1235,3454,8867,4083
+,5382,4905,8463,889
+,2590,6198,1520,4435
+,3128,997,4542,3214
+,6894,2383,9845,8979
+,1145,5957,4521,6298
+,7306,1583,2023,3104
+,597,761,9813,5927
+,8706,4642,579,1950
+,2283,5854,8680,5320
+,5287,8191,5416,3726
+,7714,8448,6221,5929
-,723,0,0,0
+,7871,8092,9032,4242
+,2904,2290,8549,4023
+,6026,6825,9882,2824
+,9130,5175,4937,2491
+,939,7103,4930,1428
+,6962,604,2910,2283
+,5881,8883,3203,4145
+,8029,2315,9929,2195
+,9769,8783,4893,2635
+,4006,8388,857,5961
+,455,5277,495,5276
+,9360,1643,8219,2155
+,3712,9042,8136,4167
+,291,2478,1899,9747
+,2870,802,1992,1212
+,1128,2248,7984,3504
+,4290,8732,4793,4753
+,795,4052,842,3332
+,4559,1816,2507,2370
+,1617,2660,7164,5389
+,5308,4721,8776,4751
+,9515,7926,2734,5723
+,2000,8795,2092,4572
+,9288,4533,1437,7737
+,4837,2461,5287,4911
+,5742,526,9523,9479
+,7651,2849,1150,7565
+,7524,5697,3063,248
+,7419,8413,16,3146
-,949,0,0,0
+,3886,7013,5199,779
+,7072,7125,7025,1617
+,7723,1795,7761,8112
+,3075,8110,5528,955
+,7356,1451,8565,2751
+,3947,9254,1887,743
+,900,6569,6242,861
+,4841,1472,5575,5018
+,6515,659,1073,7950
+,8353,479,3962,1232
+,4835,5760,1988,9815
+,968,5645,8328,4881
+,3159,6836,9297,5408
+,887,6903,2788,5633
+,576,1112,4677,4100
-,343,0,0,0
+,126,978,6648,8472
+,4668,1650,5107,8811
+,3422,3763,4685,542
+,9963,6285,9893,5151
+,3562,3854,465,3135
+,4282,7215,7705,1901
-,959,0,0,0
+,4272,8229,8155,2336
+,4146,367,2133,1939
+,1619,7832,6116,1324
+,1071,8577,3755,3170
+,9448,8082,3525,3887
+,5043,7837,6752,4686
+,7855,1449,5110,1957
+,478,7417,6854,3433
-,148,0,0,0
+,3607,3571,3293,6839
-,755,0,0,0
-,391,0,0,0
+,5074,2284,4185,7159
+,4318,8543,128,8905
+,8772,9609,4321,8485
+,2282,2566,3931,491
-,340,0,0,0
+,6611,4777,4658,4532
+,946,9146,7335,6663
+,2,2837,1774,7745
+,4994,4757,5439,3986
+,1754,2165,978,3889
+,1475,4214,4335,1680
+,238,9878,1351,8257
+,4379,183,4993,499
+,6644,6478,1998,6608
-,379,0,0,0
+,2772,612,2154,1054
+,9144,4510,3055,5406
+,200,9816,2117,2515
+,647,2693,1691,6927
+,3578,1039,9420,2468
+,8550,9260,6823,3745
+,2747,8212,3220,5069
+,2851,6666,3418,8346
+,1730,2946,2112,8210
+,4828,2363,5228,2317
+,2781,9396,2671,434
+,2459,2274,724,7276
+,5019,7911,6845,7655
+,7606,7220,5343,9497
+,4906,8580,5666,7143
+,2078,8786,2298,6650
+,9339,1106,1353,9870
+,8913,4951,6373,5233
+,9823,5309,7541,7183
+,9901,2301,5173,7132
-,160,0,0,0
+,8925,7520,3931,8609
+,3131,9989,7833,4640
+,5841,1345,7058,6592
+,5053,4737,8358,9787
+,6473,7496,891,2022
+,3229,9717,2363,9033
+,9137,3979,1587,2090
+,5700,49,2926,1996
+,9845,4111,6446,7435
+,3445,8069,7380,6251
+,1903,3163,4281,8686
+,7269,3354,8194,9937
+,2208,535,7462,2349
+,1712,1608,2253,6798
+,8334,3790,3368,3366
+,3220,845,34,3052
+,9940,5806,2788,6275
+,3557,3373,1485,3954
+,4001,5629,7255,7974
+,8903,485,5967,7804
+,6337,353,3575,1211
+,7453,2310,6576,3268
+,135,8398,675,5275
+,5717,3544,4912,9538
+,2934,3139,6168,7302
+,4489,5725,6696,515
+,9213,9944,7994,7958
+,8759,1958,6320,713
+,3803,2678,4400,7571
+,5261,8541,7038,3731
+,9461,3897,5768,2864
+,6481,8953,7644,3528
+,4507,3241,254,9681
+,4580,4653,6103,2829
+,6530,5418,2192,2528
+,4625,3474,1633,8885
+,1237,1975,8570,5524
+,6285,6508,2435,545
+,5845,6744,8715,2762
+,5269,1179,1560,2620
+,4907,2332,9036,2443
+,7985,6155,6644,5922
+,3756,5273,2922,219
-,639,0,0,0
+,9715,5314,6499,1304
+,8749,8948,5738,9268
+,1018,1128,5560,7257
+,4411,7073,4109,624
+,4677,2574,7416,1327
+,4777,6322,3541,4104
+,8146,9146,4201,2896
+,7675,6724,8945,7409
+,6479,8782,5043,5410
+,192,5788,9878,2100
+,8934,1334,2570,5270
-,43,0,0,0
-,810,0,0,0
+,745,8603,6661,8431
+,6347,2980,2534,5540
+,7777,417,2447,932
+,2152,2333,5532,9930
-,790,0,0,0
+,8270,5696,5450,347
+,7782,1092,6105,3332
+,5111,4526,7892,9119
+,6880,2479,1969,5737
+,8130,4020,5140,7182
+,3675,8752,7573,4508
+,4509,7702,4288,1083
+,1830,4355,3884,9276
+,7576,2005,696,4981
+,6436,992,6210,3893
-,997,0,0,0
-,896,0,0,0
-,374,0,0,0
-,829,0,0,0
+,1244,9591,7596,5482
+,711,8359,8303,5590
+,5832,7233,4781,3383
+,3324,7723,3054,9385
+,1536,1624,5451,9630
+,5208,9360,5274,8244
+,4298,8792,2978,5051
+,4802,3542,7580,4922
+,114,7483,5204,6714
+,1079,3055,6430,361
+,1329,1306,7422,8240
-,101,0,0,0
-,979,0,0,0
+,6540,4858,7286,917
+,2496,1656,5837,1551
+,8097,2727,2038,7053
+,6096,9011,4227,1598
+,8479,8363,3696,9521
+,7514,1059,3182,8609
+,5348,7006,6995,9
+,1769,4629,7407,3502
+,7290,2454,9301,530
+,1005,9790,3460,1350
+,2817,86,6598,4321
+,9003,8107,5116,2758
+,6396,7712,4777,1905
+,345,8009,5333,9379
+,2048,3382,3411,106
+,1066,5812,4185,5493
+,3741,5155,9597,8481
+,6060,6097,6938,751
+,8609,4621,2997,3696
+,8509,1980,6852,401
+,4098,3467,5578,563
+,2158,1349,6395,2381
+,4153,7212,7096,8698
+,1199,7920,9659,6202
+,1356,7069,4831,3823
+,5091,4730,7269,1850
+,5120,892,7212,259
+,8536,3726,8732,8741
+,719,5630,2106,8051
+,4213,9224,8382,2345
+,5616,937,1099,4448
+,8851,7631,1135,4363
+,8438,5496,8441,5945
+,7858,4745,463,8413
+,4331,5557,4608,271
+,2271,1911,5238,1955
+,1334,9270,6061,8004
+,348,4807,8189,6388
+,1167,8826,2080,5441
+,7393,2661,6777,4600
+,2683,1944,8096,3978
+,3885,2214,6066,5561
-,789,0,0,0
+,7920,405,2430,4099
+,5380,8407,5481,3246
+,6320,8589,7778,4542
+,8764,5371,1570,1047
+,9987,532,6439,8406
+,1308,7470,6639,499
+,5737,7143,9712,6388
+,7837,8755,3794,1605
+,9764,9229,7506,1177
+,4127,6625,1672,3404
+,260,47,8916,9887
+,3270,835,6088,582
-,214,0,0,0
+,2361,1342,8315,1633
+,1432,1058,73,431
-,378,0,0,0
+,8327,186,266,4435
+,6817,4869,5691,6678
+,5615,2548,6300,9406
+,1610,3470,7102,4779
+,9827,8406,8693,3359
+,5997,323,2137,2442
+,631,8199,7479,2195
+,2976,2449,5935,3772
+,6496,477,5987,9898
+,480,8041,5998,329
+,4178,247,1621,2748
+,4232,3277,7331,2470
+,2672,8968,9345,5803
+,4402,8597,1119,7825
-,30,0,0,0
+,1674,6294,3749,2366
+,9988,9822,8282,1303
-,160,0,0,0
+,6632,7148,7499,603
+,6507,6257,3590,2620
+,3066,2242,7051,4582
+,6554,1975,1406,8018
-,678,0,0,0
+,6567,4928,5836,4501
+,5730,4557,6669,9606
+,5086,736,5131,9793
+,672,9215,5764,8568
+,7584,7649,4483,1263
+,7770,2001,6128,1707
-,855,0,0,0
+,6882,8218,4955,7465
+,213,4863,8352,1480
+,8657,7675,5205,2339
+,7648,493,6919,4972
+,805,1302,1631,5378
+,7415,622,571,4722
+,777,1170,98,7998
