OP,A1,A2,A3,A4,A5,A6 
+,7873,4800,7616,1372,8447,590
+,5400,7751,5501,8698,8512,8221
+,4372,2370,9354,9501,5952,794
+,9439,9208,1327,1573,7477,9438
+,4620,6633,8656,713,5995,6912
+,8872,1139,3297,6483,1401,6701
+,9749,5411,9926,6083,2031,3571
+,2465,6087,2627,4643,8712,1422
+,9592,2294,5439,4387,6463,7711
+,3018,1801,1822,5449,9035,6688
+,3574,8985,1436,767,7399,1277
+,8479,2488,176,1943,8197,8304
+,4235,3539,9272,8472,3584,4717
+,1654,6449,2168,7441,1098,6846
+,9907,2873,9428,2973,834,8186
+,27,2517,4835,4487,513,9757
+,7454,4693,667,7841,5515,8286
+,9545,5105,4698,7873,3288,224
+,2882,8007,4427,3081,5690,621
-,658,0,0,0,0,0
+,2779,4702,1333,984,2828,5455
+,6263,8471,9671,4487,1024,1826
+,770,626,2331,4892,338,2259
+,976,220,8062,5882,1832,8876
+,30,4079,9166,978,163,5345
+,4364,1729,2203,4543,8324,1730
+,8798,5256,6346,8339,5359,1433
+,8995,1730,4773,653,2165,7835
+,1489,4972,5293,4728,3251,3038
+,427,2499,9215,618,9801,1252
+,3331,3147,9724,2896,8683,1988
+,5073,9650,5678,2244,1352,7203
+,8628,4927,1520,8480,4605,6408
+,3390,2416,9653,4250,2210,1157
+,1336,3609,8213,9188,7989,3929
+,954,5186,3741,4768,9019,7055
+,3020,3596,1259,8611,692,4559
+,5938,786,2279,5158,3607,7498
+,8202,9267,2934,2665,4432,9285
+,3043,8609,9435,8471,5361,5940
+,324,101,8847,6437,3176,1003
+,7416,5152,5966,490,4143,3053
+,8719,2028,1222,4687,3215,4400
-,599,0,0,0,0,0
+,7404,4410,5923,8375,7684,5746
+,3154,9446,3346,2540,7394,2026
+,2120,9081,8962,1371,7249,8682
+,4931,3817,3388,1075,3301,1994
+,9173,4924,1523,5572,2864,6591
+,6853,8281,9834,8707,2879,6681
+,2053,1837,6505,7729,3776,5834
+,3505,4944,5986,8793,7304,6044
+,8669,8109,3291,936,8819,1746
+,1115,3677,6277,536,1915,9750
+,1052,5130,239,5951,3597,9919
+,5458,922,3157,249,3356,4807
-,547,0,0,0,0,0
+,2813,9683,129,8965,2303,6539
+,5268,495,2355,1777,1639,5393
+,8160,2778,9223,2603,2206,5571
+,7119,9351,2568,7524,7994,3514
+,9470,5534,6742,8492,8112,6560
+,1515,9382,461,4765,739,8824
+,4996,7294,7616,7630,9932,3315
+,2378,3185,3871,1876,1561,1045
+,4673,870,2986,7213,3827,653
+,9883,8742,2640,1258,1070,2706
-,763,0,0,0,0,0
+,8212,3038,237,8433,8197,8764
+,2764,7964,1402,1893,6726,8873
+,6919,5060,8418,4196,7129,1858
+,3455,556,7744,8964,6697,4944
+,4013,1499,3980,2814,6488,6896
+,633,4761,827,8782,6564,3318
+,5131,4865,3854,4424,174,9552
+,9687,3412,1484,5171,9731,3611
+,8799,346,8147,1015,4246,5468
+,3742,2472,1169,4384,3705,7710
+,3951,4042,3795,6553,8555,6185
-,550,0,0,0,0,0
+,2262,5108,4155,4457,2028,9280
+,9797,5771,8848,9273,6656,2689
+,9562,3351,6250,3586,3984,2403
+,4617,4474,9864,8442,8082,7864
+,9363,5086,1758,4705,7737,7961
+,4460,8908,1121,8849,4383,8064
+,152,6644,8946,5893,3975,8836
+,9149,7610,7390,4367,6130,8255
+,7113,9629,3503,2467,8453,425
+,8094,304,9805,2913,5347,6078
+,6542,8477,4581,7280,4339,2066
+,2624,4577,4756,7848,4862,1
+,7104,9152,9122,5326,1179,4668
-,520,0,0,0,0,0
+,3243,4421,8996,3437,6639,282
+,3323,464,180,2475,3136,3110
+,718,1256,848,8087,4706,3939
+,893,4307,3545,7072,9962,6354
+,3117,6774,5483,9470,8181,7366
+,4572,1769,1154,3153,1026,5971
+,9072,2239,6435,2577,4578,3295
+,6756,3808,1913,3994,1615,8673
+,9331,9218,5606,7430,6341,2568
+,4289,1320,1785,8301,4357,2828
+,8274,2525,5920,4208,8530,4080
+,73,5056,812,7179,5115,3513
+,4164,9463,6930,6425,1542,3445
+,2275,1257,6570,5117,1587,8391
+,155,2862,993,3192,2155,9745
+,2385,1126,6015,805,139,2079
+,1043,9419,8802,3493,9919,7663
+,3772,1269,5433,9243,8334,5891
+,3429,6823,6623,6791,8010,7889
+,827,2503,6998,2750,4419,4297
+,2017,8169,9809,5632,2382,1684
+,1954,494,9669,8760,2689,4855
+,9646,2670,6351,4340,3564,808
+,548,5654,1912,8839,3468,780
+,127,5375,1521,6169,1640,577
+,3200,8577,379,85,3822,4956
+,7440,129,1191,7217,6744,7987
+,9052,8907,8388,8060,995,7265
+,7172,7348,6167,6299,4425,8057
+,1005,2673,4474,5800,3888,2086
+,964,495,6322,6686,1977,1603
+,741,3452,2667,8495,4800,7194
+,4323,9821,8731,4114,3705,7221
+,6872,1861,1494,5351,8575,5589
+,9727,7752,3072,7246,8450,6249
+,2511,6132,2527,3570,3965,3083
+,8158,7011,5979,9904,4127,230
+,8232,7490,9158,8365,7663,7239
+,2985,4922,7182,3310,6717,5638
+,1853,1327,3775,1691,4968,4438
+,3809,1058,9074,7562,634,475
+,2391,2640,7448,7504,2342,7210
+,5548,8601,2462,1160,5724,1320
+,6495,8407,663,3567,9478,8768
+,7293,9632,9688,3344,1656,8809
+,5966,160,2116,4685,2904,2243
+,6889,7485,3653,4516,3166,6574
+,6470,4228,2939,6766,4431,7678
+,9544,4081,1196,9936,6996,768
+,4988,3349,77,5702,853,4127
+,705,34,4074,379,8855,8003
+,4410,2893,8923,639,1145,4541
+,4805,3263,4912,4431,4114,323
+,5924,8419,226,90,8482,2942
+,5349,9973,9274,1130,9533,4766
+,1286,8717,9198,8806,8401,4424
+,6453,3922,7790,8317,1422,1026
+,5926,6512,2872,3159,4252,4237
+,8641,1793,4177,1575,8505,711
+,459,9489,1978,7706,2815,3721
+,6257,7127,5494,4158,337,7428
+,3068,2557,4989,8088,6422,3308
+,6984,2227,3111,3927,3423,848
+,9924,6260,9955,9255,4249,2044
+,2349,1357,6064,1039,4021,281
+,8777,1237,6492,4973,6298,7863
+,9892,7366,5117,9035,4836,6898
-,61,0,0,0,0,0
+,5765,2397,8504,4189,1641,4827
+,834,9806,9464,54,1984,1923
+,9491,9539,3048,6389,616,6782
+,1855,9199,2175,6577,3250,800
+,1571,2562,7515,3126,6075,6252
+,8199,8409,7405,7207,688,4349
+,5248,1666,5936,9923,2461,3923
+,250,294,3556,8533,7361,5669
+,2811,3860,5986,3577,9470,6233
+,9122,3013,7787,9704,5110,2806
+,2055,5031,9870,6735,8081,4777
-,442,0,0,0,0,0
+,3183,2188,25,9580,7945,4370
-,727,0,0,0,0,0
+,8547,1299,3428,756,1404,6795
-,702,0,0,0,0,0
+,3391,9719,3133,5394,7412,839
+,2625,2497,3338,5579,7389,6431
+,1576,6641,8415,3648,4588,1482
-,59,0,0,0,0,0
-,509,0,0,0,0,0
+,5770,886,5213,5439,9903,9359
+,1095,9469,6730,7295,7411,3627
+,1617,2563,3782,7040,8001,9469
+,284,2054,6309,4836,8290,9473
+,2626,9095,3549,8635,6661,6674
+,3805,5328,864,1025,3501,4276
+,3221,2054,5886,6336,6887,4740
+,2505,9059,7515,8658,6648,3982
-,567,0,0,0,0,0
-,377,0,0,0,0,0
+,9534,3415,9956,6239,6973,843
+,1293,7902,1646,2529,7724,5684
+,3524,5991,9261,9263,5799,6419
+,4456,2099,6913,342,6374,3647
+,5738,3834,1523,6195,6117,1229
+,6055,2211,1240,2232,3157,2334
+,1138,6949,9408,7900,9354,6178
+,7111,1444,3194,6254,5165,9282
+,4049,3922,204,7442,1956,6913
+,9359,5247,1132,7367,452,5860
+,8142,8896,1611,2776,2608,5474
+,1426,4925,8805,8026,5628,927
+,9167,3248,8305,1870,553,6517
+,1106,599,6761,2474,5158,6213
+,8707,6749,2663,2091,6766,3934
+,5480,9228,8852,7491,740,900
+,4831,8425,2682,2967,7915,7081
+,6245,8368,8937,1069,578,5282
+,7394,2182,7617,6877,1746,8488
+,7690,9000,8313,6461,7168,4842
+,4385,5860,4244,9474,5576,5846
+,9308,5616,7153,7840,745,5461
+,8555,1089,1096,5296,4711,6162
+,2820,301,4840,8876,1996,1739
+,5817,9634,9716,7644,1657,4260
+,8328,1037,2667,6132,8765,9669
+,5619,9801,8786,7175,3700,4293
+,3569,3891,8132,9458,1107,168
+,7046,7588,6244,1759,7067,9
+,2646,8118,5642,9911,7870,5918
-,965,0,0,0,0,0
+,5583,2458,9512,9522,7269,408
-,273,0,0,0,0,0
+,1132,1231,5822,7144,7858,6645
+,7929,6076,509,4317,5958,6495
+,2952,5777,6006,4755,2351,9274
+,3268,4587,1972,675,6681,897
+,9887,9367,537,6805,9795,9029
+,6986,7118,6433,6808,7736,1906
+,1034,1993,3296,6664,8584,7333
-,883,0,0,0,0,0
+,4002,3940,4217,6702,168,4224
+,2361,986,8134,5109,879,6812
+,6279,5689,3502,499,1059,5470
+,2487,5626,2968,5323,6697,365
+,5027,3647,7348,2084,820,2523
+,8438,1308,7874,1887,4212,4623
+,6727,8673,4164,1378,7206,7581
+,6421,4810,8958,508,1454,3690
+,5552,763,1825,7566,7809,9364
+,2253,4615,4911,6142,7303,8591
+,8465,3132,514,7168,1224,8668
+,4891,1123,5241,5399,3136,5920
+,5890,1775,6719,3765,8223,5817
+,3166,1047,226,1758,6386,3977
+,4803,7105,4872,9629,9938,2851
-,337,0,0,0,0,0
+,7142,6943,7827,7071,2538,7657
+,5941,2261,7856,5033,1826,3888
+,8191,9747,4053,5250,1467,2955
+,8776,9510,2847,6922,1823,5243
+,6238,7694,2807,7343,3782,4474
-,696,0,0,0,0,0
+,1364,6729,300,1042,2841,5577
+,9092,1581,1730,1566,5037,425
+,2536,5182,4184,4416,7545,9411
+,8018,2081,1145,2428,3368,2130
+,1126,8536,2510,7898,7490,9403
+,2517,2118,2516,1667,9224,2916
+,17,9901,3042,6160,8371,381
+,2857,1402,9556,8233,9230,5302
+,4529,1317,4060,9092,9637,2317
+,3079,7434,83,3200,6590,741
+,7302,7559,9736,2129,3760,6727
+,2156,7669,3751,16,8927,2711
+,4634,8030,8138,2806,7918,570
+,6922,4208,9362,4807,1488,6060
+,6820,1696,8123,3675,413,6990
+,9484,5820,1220,4347,5598,8217
+,673,2926,2207,2525,1249,3983
+,3204,7866,1010,999,4279,7221
+,5045,4074,9531,3025,9159,7445
+,2460,1220,1525,2951,4573,2267
+,3401,4701,6503,1550,3346,8249
+,6959,7867,2993,5705,9063,4923
-,885,0,0,0,0,0
+,3011,9703,2040,7872,7761,719
-,519,0,0,0,0,0
+,1438,4236,8704,9465,7323,61
+,9018,5872,5575,4199,2442,6200
+,440,1723,7291,7182,9316,1981
+,6568,8096,2079,9146,4089,9883
+,2771,8858,416,2277,9724,2602
+,9604,8153,7307,5938,6135,6624
+,9665,6792,3538,8601,8412,1312
+,7493,5233,8376,8372,5811,5887
+,2915,9728,3218,8054,2259,3541
+,8796,7114,5626,5465,4399,8784
+,2073,8096,725,3047,1559,3865
+,9633,7905,3464,3968,1601,8550
+,9183,6631,8897,7697,3033,6983
-,868,0,0,0,0,0
-,605,0,0,0,0,0
+,6345,9269,9931,4510,8729,2755
+,5675,4421,111,5410,5473,8798
+,5669,4492,5515,4738,6601,4444
-,960,0,0,0,0,0
-,517,0,0,0,0,0
+,288,7624,451,8187,1106,9453
-,271,0,0,0,0,0
-,812,0,0,0,0,0
+,7647,3992,7098,5501,3760,4966
+,2403,9064,7970,2164,4022,3155
+,8086,5311,1762,1088,4446,4511
+,4722,6203,6939,5257,9158,6392
+,4217,6808,2270,6085,3311,9298
+,6414,3394,872,9989,597,5740
+,1343,4851,9546,6155,9051,6142
+,2380,5202,4987,4912,2046,874
+,934,1201,5695,8417,8468,2930
+,4550,6495,6714,3260,9532,9906
+,780,8295,5546,1548,9018,1825
+,6751,4452,938,506,1990,1625
-,627,0,0,0,0,0
+,7091,5453,5848,2566,3542,1822
+,1865,6842,6191,7297,5749,3231
+,4687,4614,3913,7178,2041,6109
+,1868,552,9575,642,5675,9661
+,8218,3891,6316,9111,5472,1570
+,6026,2527,5875,9849,9786,1622
+,1742,7630,6560,4243,3690,301
+,3229,2019,3502,6703,5163,2054
+,4320,9877,5420,2689,3184,7191
+,6494,182,4104,1109,2514,6612
+,9393,560,2576,6099,5654,4503
+,5032,245,6977,7988,944,981
+,7684,9885,5538,136,6274,4764
+,1778,1343,2135,6919,368,5397
+,8198,3985,216,3176,2550,7312
+,7717,983,6052,5382,8381,2385
+,5004,2137,8289,136,1684,2174
+,8350,1834,8548,4774,1791,3696
+,9124,1263,1720,9272,8095,3394
+,7537,4033,3692,1138,8401,4031
+,9828,6307,532,6063,3828,650
+,7448,8715,993,3415,6117,5699
+,5145,654,1507,435,1634,9758
+,5057,1736,4500,4217,8263,7694
+,9263,9594,6645,5874,1690,5007
+,7327,377,8797,7207,6138,1055
+,3369,9491,8803,3051,3485,4583
+,7605,4339,5781,7249,167,8417
+,4979,3842,7888,9031,6678,4736
+,1871,156,2888,8612,7125,6465
+,1496,638,2804,7369,4979,3569
+,5412,1036,43,396,1852,3749
+,9383,62,6983,7150,1205,9329
+,5572,8022,221,4186,339,9393
+,7776,7450,1628,7278,4749,7379
+,1423,4264,2042,475,3014,2315
+,7931,5850,2433,8845,6508,1498
+,3224,4450,5774,8873,5391,493
+,5733,3065,3498,407,5383,3947
-,155,0,0,0,0,0
+,5804,5807,9350,8902,7252,137
+,1911,1044,413,9369,1566,3740
+,7385,4766,1530,1844,5892,6110
+,1964,450,6326,6183,1424,4369
+,5960,4435,6564,9786,2172,8776
+,8026,3726,797,6248,9983,9379
+,563,1287,7191,4186,2393,5255
+,4019,6364,8473,430,3682,4108
+,8263,9339,5989,6712,7432,4031
-,870,0,0,0,0,0
+,4890,6850,4147,5364,4105,8740
+,2558,7973,8528,4977,5623,1850
+,9637,3481,1156,6399,8472,5505
+,5006,2508,7039,3840,3921,608
+,625,277,2377,1818,8418,1679
+,144,2159,2789,2249,9463,9253
+,3368,1540,6036,7236,2474,6930
+,897,6575,6052,2683,3513,3379
+,2110,8570,9069,5327,8726,8260
-,104,0,0,0,0,0
+,7601,4394,6175,1560,1961,8587
+,7222,2722,5577,5008,2157,2537
+,6249,9457,479,9080,1487,8060
+,5587,9673,8294,7702,5370,4819
+,7615,3495,2302,559,797,4042
+,7101,1364,8428,6455,5968,9189
+,965,458,2774,277,6324,249
+,2258,4382,132,4686,9513,6730
+,8289,6510,7427,3742,3099,9763
+,4871,2112,8232,2120,8015,9770
+,1240,8083,2103,9283,4169,4710
+,5176,6712,1145,7142,2544,1540
+,4151,4951,3988,4037,8129,2357
+,9215,227,3447,926,936,7728
+,9449,4204,236,4338,4889,5112
+,968,594,9500,4488,7084,753
+,7005,3973,8532,7910,5235,1310
+,8154,8397,456,4888,4465,7472
+,6338,4141,4848,8701,484,9562
+,8982,1991,6890,3273,7182,7502
+,5376,1304,2083,8158,1227,5196
+,1732,4385,508,7764,2775,8297
+,2947,2054,3257,6113,4174,5196
+,9056,6199,264,8198,5512,2026
-,710,0,0,0,0,0
+,3157,3308,4378,4912,6460,8330
+,4516,2068,5285,8144,5256,7986
+,1041,9184,1752,8680,1472,3630
+,9838,4482,700,4161,9981,890
+,5513,8520,9609,6600,3426,9220
+,320,2725,1537,5967,5402,8391
+,7720,9127,5508,5565,7115,7697
+,3521,4054,8284,7509,3838,3468
+,8619,2835,485,2346,2776,7953
-,619,0,0,0,0,0
+,9905,9887,4615,4129,1997,3672
+,8999,7228,4277,8672,9633,1585
+,7089,5683,8315,9208,7424,7337
+,7393,9700,23,9668,2143,4171
+,5098,1406,5934,5558,7996,2234
+,116,7870,6205,1820,7035,878
+,5150,2008,4009,4505,8926,2630
+,9126,356,8224,413,2247,8802
+,2027,3038,7747,3906,5250,1367
+,4342,2553,6202,4304,4499,178
+,5255,3063,9001,9097,2251,2605
+,8324,6968,8859,6863,4569,3530
+,2629,7648,2732,6483,3077,7553
+,6332,3387,8172,2672,8823,2895
+,8110,1810,5199,5784,8516,1012
+,7930,8700,9931,1520,3076,9294
+,9445,7311,3454,8359,6453,4920
+,4500,7871,5243,5725,8454,5121
+,6649,2409,275,4652,8224,1940
-,504,0,0,0,0,0
+,5556,2761,414,3481,4454,1461
-,381,0,0,0,0,0
+,8991,3380,2716,7642,9126,8858
+,9613,4783,132,9533,6816,1351
+,7761,6480,273,3423,8279,7739
+,261,1320,593,5672,9042,1596
+,4068,2227,337,1315,2701,4944
+,2211,2280,1752,2787,504,8654
+,209,1513,5906,9278,1746,5728
+,5574,6755,5845,9755,7909,4189
-,218,0,0,0,0,0
+,4989,8499,4001,2882,442,1779
+,772,6030,3147,4998,7094,3841
+,5588,6202,3003,2242,808,5365
+,5321,6690,8900,895,3137,5293
+,8192,2833,2248,7672,4790,788
+,263,3545,4787,416,1994,8339
+,7625,6657,7142,45,2207,1124
+,7851,3430,2220,8923,9296,629
+,894,8043,1073,5890,7838,5125
+,9374,6606,1548,3822,1820,2102
+,5576,3556,6456,635,6995,1736
+,1984,7753,8066,161,2079,2989
+,5811,5556,6862,4612,9837,1637
-,904,0,0,0,0,0
+,9844,7506,6565,5272,974,6039
+,9343,1022,6574,6264,9113,5213
+,4654,1946,2340,5190,3662,1679
+,5565,9541,1789,3916,387,8879
+,5497,7793,186,8512,9082,8014
+,7565,8172,7587,4807,7691,5130
+,1623,7775,1999,7624,490,6750
+,3258,5891,8742,2670,5987,9663
+,4496,610,3795,8964,3403,7604
+,605,4352,8429,6238,8379,5960
+,8693,1408,1,3466,9532,6318
+,9772,487,9212,9049,2174,7253
+,9389,1611,5450,7704,7846,2987
+,3584,3917,5379,1376,9547,6840
-,653,0,0,0,0,0
+,9698,512,819,5452,4492,4766
+,5318,1942,6562,808,3208,1155
+,5144,6726,8004,6181,8852,1852
+,4158,7549,8809,8272,9105,9759
+,5252,872,1310,4599,4082,8103
+,9777,4962,3054,736,2245,3472
+,3734,9161,3080,3747,3329,2303
+,4728,2503,7545,8292,964,4303
+,1122,9485,3157,7090,8090,7025
+,136,6035,5109,2383,1045,1755
+,8341,1789,382,8906,7954,3441
+,1657,468,3380,3540,6675,8781
+,7920,5034,6210,2742,9130,6846
+,8185,852,8384,7736,7524,3345
+,4784,2342,625,4483,6909,9898
+,7758,2734,1517,8619,114,1773
-,990,0,0,0,0,0
-,878,0,0,0,0,0
+,2709,8155,7347,4417,4990,3201
+,3621,8223,3603,7050,3276,8261
+,9325,4956,908,9928,5556,8890
+,2386,6294,6926,3592,9690,8692
+,4973,8286,2622,4824,3547,3996
+,634,1775,1308,2708,5135,1601
+,7246,1581,3613,341,5665,4473
+,989,3162,2473,6658,1998,5949
+,6296,1687,5655,6982,1832,2477
+,8320,6492,6368,3167,7597,7810
+,8622,3645,9081,8957,9238,9420
+,4724,9625,7433,4136,4663,7752
+,587,8733,3783,6263,6589,7810
+,7226,3448,8108,7745,3664,2434
+,4642,7577,8614,3764,4110,7123
+,2668,9116,3640,802,7346,2353
+,7450,9650,4121,5362,8035,9811
+,9170,5508,6927,2825,2538,2344
+,7841,116,6784,5494,7739,6070
+,4292,2950,7720,3081,3033,9661
+,2585,6911,4545,6415,6041,1104
+,8476,598,5150,8696,9812,3694
+,4092,2521,8095,7301,1682,6216
+,8144,9115,2981,8968,7309,3993
+,3072,3056,6586,548,8570,2567
+,5233,9040,8889,5603,1208,4136
+,914,9058,1724,6832,6560,5460
+,2757,7092,2054,3990,4823,6062
+,312,3911,5290,7324,7323,968
+,8985,6346,7836,3276,8074,3534
+,4220,6334,2330,4618,8668,9775
+,9298,8637,5066,1529,4363,2190
+,6783,6527,1937,4255,3188,7136
+,3399,8756,3371,1879,7915,3905
+,3239,9306,9326,2487,8037,2444
+,9335,1283,1793,5631,4110,6356
+,2021,9672,627,289,9087,1551
+,2396,2089,7600,68,2219,1406
+,1922,7658,5960,9181,7526,4875
+,408,60,4607,5836,8950,5477
+,7018,6539,8679,1571,6022,6764
+,2192,8340,4784,2007,811,2168
+,2819,6893,6192,4977,58,3371
+,2239,9451,2265,6210,9297,7040
+,8325,7947,3030,3669,1313,1239
+,4990,1078,7219,9965,7010,6894
+,6468,9152,6936,853,7717,9495
+,1857,348,8873,805,6181,1150
+,8294,9760,400,5770,9306,7538
-,776,0,0,0,0,0
+,4011,7289,4323,6403,3767,543
+,1854,8066,4331,915,722,8722
+,6417,5255,2333,8453,8006,9575
+,1197,530,2468,6403,1198,9473
+,2375,3173,5903,2145,4194,2159
+,9943,6704,386,7568,6251,4178
-,400,0,0,0,0,0
+,6699,8686,1392,2901,128,6615
+,9902,7270,892,4370,247,4700
+,6197,6837,931,3959,3918,654
+,1482,8444,6102,1324,1455,2552
+,430,3721,3321,1611,7190,6208
+,6555,9802,7672,5225,687,5119
+,7500,7942,2831,1636,3482,2760
+,3613,4577,8411,5170,9340,2172
+,3397,3476,9776,8021,3325,6612
+,9242,4464,4964,6500,7243,9522
+,9572,1826,192,8942,5361,619
+,3295,882,3839,9959,7165,297
+,4066,1084,5312,4193,8370,5701
+,4696,4867,2872,3966,146,5688
+,6935,7418,885,8110,9435,2892
+,7236,7257,8461,7679,3724,8970
+,4254,399,917,5094,2217,3904
+,3218,5203,9516,3624,9073,248
+,3580,249,3332,8678,266,8455
+,9123,6758,6513,5121,5422,573
+,6769,5972,2369,1977,7349,6773
+,1542,7426,9688,8319,4643,6873
+,7571,6472,5554,960,1574,5097
+,4706,6259,7395,2591,9315,4080
+,8625,2157,3366,4745,3750,4858
+,5895,7677,4716,2021,7338,9701
+,7213,5553,5344,2410,8619,8249
+,8608,6399,8481,5478,229,7959
+,1756,5353,6378,8832,8330,7133
-,833,0,0,0,0,0
-,90,0,0,0,0,0
+,8701,7740,4842,3765,9479,4546
+,6433,8138,3030,3191,868,8486
+,3498,1579,5974,9308,1079,8045
+,4944,3187,7591,4472,2678,4739
+,6683,1259,5802,2809,8022,7885
+,1890,5367,2946,970,6312,9328
+,6625,8125,8538,1148,7550,8850
+,7469,3947,2756,4095,213,1422
+,9862,5552,8044,7196,7548,6507
+,4946,7231,2065,1869,846,8432
+,77,375,3676,5651,5217,1077
+,8437,2325,2211,3392,4442,5226
+,8117,8292,4367,4802,2291,6291
+,9464,7819,7650,535,5636,2683
+,9524,9234,5189,1299,1160,7238
+,3439,8813,168,1342,7955,3867
+,7764,8668,5304,5902,8539,3685
+,3535,8683,9847,9753,8997,8924
+,5038,2222,6246,8391,1210,1083
+,8538,5961,8684,4989,3539,6261
-,917,0,0,0,0,0
+,5355,9386,9371,8757,3077,7714
+,3441,2402,7848,6187,3527,4104
+,6415,5909,401,9615,2861,1810
+,4407,370,7222,7682,2998,6221
+,1941,2387,1639,6006,8075,119
+,6485,9329,7081,2222,2682,5950
+,369,2155,9978,8733,714,2132
+,696,7203,3328,1543,9021,3774
+,8895,9873,7178,3292,5111,424
+,96,8263,6045,6637,362,326
+,3136,5139,2632,8029,6861,3536
+,7915,4886,5182,4157,5908,1023
+,8770,2228,4155,9295,6166,8734
+,4808,809,4842,6937,6927,7547
+,7150,5477,629,1136,1467,4658
+,5050,7426,3707,6816,2086,3779
+,787,8480,6308,8923,3138,6218
+,3127,5173,918,1792,2434,263
+,85,4047,7373,9961,1828,4122
+,3528,5416,4914,6658,4702,766
+,9119,3152,6119,7213,6799,1581
-,395,0,0,0,0,0
+,7578,436,7219,4332,3784,9299
-,237,0,0,0,0,0
+,8082,7571,4684,3066,5969,4778
+,4528,6711,4316,3100,7567,481
-,903,0,0,0,0,0
+,923,8227,27,9133,298,5059
+,6102,2840,294,5814,7055,7468
+,4968,5145,7771,1827,14,7252
+,7863,5122,6089,7406,4280,7386
+,6862,9414,7062,3201,9928,5529
+,6111,4370,4571,8885,2904,3009
+,9605,4914,196,1100,9674,3114
+,8882,9684,7277,7099,6160,6935
+,8489,2657,6808,737,1450,6745
+,3231,7273,8917,4548,7906,715
+,9143,4773,8815,3364,7892,4549
+,9022,1430,1753,4198,3264,4747
+,6705,4722,2230,2819,7450,2044
+,8563,4978,1994,6327,2053,8694
+,6793,5476,5428,9081,2074,9676
+,9120,4771,239,6143,9431,7471
-,372,0,0,0,0,0
+,5377,1980,3085,2802,8195,509
+,4249,6182,9315,5859,9849,367
+,5487,3359,8276,6288,2521,4600
+,3906,4640,3920,6411,6503,6953
+,8007,1341,9272,4923,4772,9575
+,57,7884,9358,6920,729,8675
+,8633,7337,4852,6871,3751,5694
+,3754,5642,4591,5953,345,8203
+,1141,9504,3290,8221,5016,3926
+,4105,7086,4222,8611,7750,2863
+,755,7823,3521,9200,6913,7212
+,3366,621,309,2176,600,6388
+,2992,4455,8822,5879,3536,5972
-,631,0,0,0,0,0
+,9996,6139,4248,3411,2934,8331
+,5741,1018,2576,5062,457,1147
+,4053,9734,9107,4007,6920,601
+,9356,913,4643,5394,2379,4792
+,9091,5699,1413,7147,1984,9844
+,3,5382,731,2282,4045,7218
+,9514,9728,674,7979,3646,250
+,3852,4645,3038,4203,2901,6912
-,661,0,0,0,0,0
+,5008,8175,5481,8363,4475,6160
+,822,1110,1322,1741,5804,6505
+,7645,7342,1966,6924,3905,6568
+,4465,2290,589,8820,2268,3280
+,2688,1241,3032,7903,4651,5451
+,8461,6094,3852,4848,3886,1547
+,7515,4163,6146,4526,6190,5308
+,7560,8058,6365,5590,8737,8419
+,4844,2915,7494,1875,6657,510
+,3423,5800,3986,4165,2206,5350
+,417,863,3281,3688,4414,1188
+,4900,8782,7890,6185,6190,3399
+,7828,1920,425,9572,8472,5630
+,1666,3327,1678,5632,8190,1180
+,4041,4573,3756,4328,8914,218
+,5166,8326,9927,7021,6733,2281
+,5518,3185,5660,2514,9960,7833
+,3777,7959,5790,8987,2380,2845
+,117,4293,9411,4270,3007,7198
+,3672,2152,8744,7083,1749,2693
+,5529,7491,8443,5865,7633,8555
+,149,8790,7129,4325,5000,7307
+,2289,5962,8461,4779,1603,6896
+,3921,9927,2962,2587,2618,5468
-,370,0,0,0,0,0
+,6183,44,461,5524,7896,2133
+,8138,6241,1926,3664,1251,8692
+,5891,7504,6076,5243,8632,3159
+,9087,1685,9926,4772,5505,4014
+,8477,6629,1534,6963,7669,4532
+,260,8138,9296,4885,5356,2823
+,2762,6203,1048,1634,4155,6822
+,3094,3337,2881,877,669,9439
+,8439,7241,8277,8310,6445,8676
+,771,1329,7662,525,9710,2677
+,2458,8527,7425,2897,8439,7358
+,955,2808,1310,3968,8621,1088
+,7934,9819,5047,7560,1212,9107
+,797,8485,6498,4562,326,4711
+,7075,2380,7180,9615,1837,7616
+,204,1423,5442,8435,1066,4415
+,2248,7106,874,608,7886,9644
+,4493,1422,3223,3088,590,2590
+,8123,8827,2632,760,6999,5729
+,9482,2769,3912,6497,7507,282
+,4679,115,7760,2208,6335,4013
+,5519,1690,5867,1692,3821,4786
+,6652,4403,2941,9931,4500,6328
+,9182,6732,7474,1090,530,2088
+,2792,7609,2281,982,7870,7983
+,1849,3972,1988,445,1461,3907
+,4667,8161,8648,6987,3848,6509
+,2177,4177,7612,9339,1022,8562
+,3282,8837,2025,4476,3904,8715
-,281,0,0,0,0,0
+,6509,5339,4544,1664,3253,5826
+,4943,3091,888,8398,8157,7719
+,164,8234,1886,7893,1887,3933
-,241,0,0,0,0,0
+,7179,9983,6451,8100,6518,5328
+,8333,5329,4177,8531,4343,3490
+,401,3916,7871,8416,5924,8908
+,4705,758,7078,2006,7651,8669
+,8880,1411,2365,1121,563,348
+,4816,1447,4338,8201,5688,8768
-,359,0,0,0,0,0
+,6148,7381,6591,6471,4085,1733
+,8834,2733,4664,7878,5797,7452
+,78,6355,5223,8891,9529,4977
+,9519,7868,574,9033,9521,8959
